,First Name,Last Name,NBA MPG,NBA WSP48,NBA BPM,NBA VORP,NBA PLUSMINUS
0,James,Wiseman,,,,,
1,Vernon,Carey,,,,,
2,Onyeka,Okongwu,,,,,
3,Precious,Achiuwa,,,,,
4,Isaiah,Stewart,,,,,
5,Zeke,Nnaji,,,,,
6,Jalen,Smith,,,,,
7,Daniel,Oturu,,,,,
8,Nick,Richards,,,,,
9,Udoka,Azubuike,,,,,
10,PJ,Washington,30.3,.054,-1.6,0.2,+0.6
11,Brandon,Clarke,21.7,.192,3.5,1.5,+2.7
12,Zion,Williamson,29.7,.149,2.4,0.6,+13.6
13,Jaxson,Hayes,17.0,.176,0.1,0.5,-2.4
14,Grant,Williams,15.6,.075,-2.6,-0.1,+2.9
15,Marvin,Bagley,25.3,.100,-1.4,0.3,-5.3
16,Mohamed,Bamba,15.3,.124,-0.4,0.7,-5.9
17,DeAndre,Ayton,31.5,.125,0.3,1.9,+1.9
18,Daniel,Gafford,14.2,.146,-1.3,0.1,+1.3
19,Jaren,Jackson Jr.,27.0,.102,0.0,1.5,-3.1
20,Jontay,Porter,0,0,0,0,0
21,Wendell,Carter Jr.,27.2,.105,-2.0,0.0,-1.2
22,Jarred,Vanderbilt,4.1,.014,-4.9,-0.1,-9.9
23,Ajdin,Penava,0,0,0,0,0
24,Robert,Williams,11.0,.203,2.9,0.7,-8.4
25,Moritz,Wagner,14.4,.082,-2.6,-0.2,-2.8
26,Ethan,Happ,0,0,0,0,0
27,Brandon,McCoy,0,0,0,0,0
28,Omari,Spellman,17.8,.068,-1.5,0.2,-4.0
29,John,Collins,28.3,.158,1.1,3.9,+2.8
30,Zach,Collins,17.0,.071,-2.5,-0.3,-3.3
31,Jarrett,Allen,24.0,.176,1.1,4.0,-1.2
32,Justin,Patton,5.4,.014,-5.6,0.0,-19.5
33,Bam,Adebayo,25.5,.167,2.0,5.6,+2.0
34,Jordan,Bell,12.0,.126,0.5,1.2,-2.5
35,Lauri,Markkanen,30.6,.080,-0.3,2.2,+0.4
36,TJ,Leaf,8.6,.112,-1.6,0.1,-5.4
37,Domantas,Sabonis,25.6,.133,0.5,4.6,+1.6
38,Jakob,Poeltl,16.2,.171,1.0,3.3,+2.3
39,Deyonta,Davis,12.1,.131,-2.1,0.0,-3.1
40,Pascal,Siakam,25.9,.143,1.5,6.1,+6.8
41,Marquese,Chriss,19.4,.055,-2.3,-0.3,-4.6
42,Henry,Ellenson,9.2,.018,-3.8,-0.3,+1.4
43,Skal,Labissiere,17.5,.082,-2.3,-0.2,+2.2
44,Cheick,Diallo,12.1,.139,-1.4,0.3,-6.9
45,Chinanu,Onuaku,12.3,.043,-5.4,-0.1,-39.8
46,Jahlil,Okafor,20.4,.069,-2.0,0.0,-10.8
47,Karl,Towns,34.4,.197,4.8,21.2,+5.6
48,Bobby,Portis,20.4,.081,-1.3,1.1,-0.4
49,Willie,Cauley-Stein,23.5,.119,0.1,4.3,-0.4
50,Trey,Lyles,18.0,.078,-1.2,1.3,-3.4
51,Myles,Turner,28.3,.131,0.6,6.2,+1.2
52,Larry,Nance,23.5,.132,1.3,6.1,+3.7
53,Frank,Kaminsky,22.2,.085,-0.6,2.5,-2.2
0,Cole,Anthony,,,,,
1,Tyrese,Maxey,,,,,
2,Nico,Mannion,,,,,
3,Tyrese,Haliburton,,,,,
