Season,Year,RSCI,First Name,Last Name,Conference,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,AST/TO%,OWS,DWS,WS,WS/40,WS/40 * BPM,OBPM,DBPM,BPM,FT%,3PT%,3PT Confidence,FG% on 2PT Jumpers,% 2PT Jumpers Assisted,Shooting%,FG% at Rim,% at Rim Assisted,Finishing%,Offensive Self Creation
2019-20,1,1,James,Wiseman,AAC,3,3,69,52.7,0.76,0.769,0.038,1.038,48,21.8,26.5,24.4,4.4,0.8,13.6,7.2,29.1,0.33,0.5,0.2,0.7,0.434,7.0308,10.6,5.6,16.2,70.4,0,0,44.4,99,0.31,89.5,70.6,12.75,0.96
2019-20,1,4,Vernon,Carey,ACC,31,30,772,34.1,0.615,0.588,0.061,0.632,499,12,26.1,19.2,8.2,1.6,5.8,12.3,31,0.48,3.6,2,5.6,0.288,2.8224,5.6,4.1,9.8,67,38,2.318,39.7,67.7,9.75,65,60.6,12.41,10.03
2019-20,1,19,Onyeka,Okongwu,Pac-12,28,28,858,31.1,0.645,0.618,0.014,0.504,418,12.4,18.4,15.5,8.4,2.3,9.8,13.7,23.6,0.54,3.2,2.1,5.4,0.251,3.4136,5.6,8,13.6,72,25,0.35,41.5,46.2,16.25,72.6,54.1,16.14,20.75
2019-20,1,12,Precious,Achiuwa,AAC,31,31,943,23.3,0.534,0.511,0.108,0.507,460,11.4,24.6,18.6,7.5,2,6.4,16,27.7,0.34,1.5,2.9,4.4,0.187,1.0472,-0.3,5.9,5.6,59.9,32.5,3.51,21.4,19,12.14,61.4,59.5,12.05,11.65
2019-20,1,6,Isaiah,Stewart,Pac-12,32,32,1031,26.9,0.629,0.577,0.059,0.591,510,10.7,19.5,15.5,6.3,0.9,7,14.1,24.5,0.38,3.7,2,5.7,0.222,1.7982,4,4,8.1,77.4,25,1.475,42.7,58.5,14.45,69.4,59.7,13.55,15.44
2019-20,1,34,Zeke,Nnaji,Pac-12,32,32,981,25.7,0.63,0.578,0.054,0.637,482,11.5,20.3,15.9,5.8,1.3,3.3,14.6,24.1,0.39,3.5,2.1,5.6,0.229,1.8778,4.5,3.8,8.2,76,29.4,1.5876,45.4,77.6,8.52,66.1,60,12.81,8.97
2019-20,2,19,Jalen,Smith,Big Ten,31,31,970,29.3,0.626,0.59,0.279,0.474,444,11.5,25.6,18.6,6,1.3,8.2,12.2,22.8,0.47,3.6,2.4,6,0.249,3.0627,5.8,6.5,12.3,75,36.8,10.2672,32.8,45.5,18.54,72.2,59.6,14.13,20.59
2019-20,2,52,Daniel,Oturu,Big Ten,31,31,1050,30.7,0.612,0.585,0.123,0.428,562,12,23.3,17.8,7.9,1,7.1,14.7,28.8,0.39,3.7,2.2,5.9,0.226,2.3052,5.2,5,10.2,70.7,36.5,4.4895,34,38.9,16.93,71.8,47.2,18.37,24.11
2019-20,3,17,Nick,Richards,SEC,31,30,919,25.8,0.674,0.642,0,0.571,394,11.3,18.6,15.3,1.7,0.2,8,13.2,20.7,0.14,3.4,1.6,5.1,0.222,1.665,4.1,3.5,7.5,75.2,0,0,42,68,10.11,83.7,72.6,11.11,8.7
2019-20,4,29,Udoka,Azubuike,Big 12,31,30,859,31.3,0.685,0.748,0,0.599,397,15.3,26.9,21.5,7.1,1,10.9,19.6,22.9,0.38,2.9,2.6,5.5,0.254,3.6322,5.6,8.7,14.3,44.1,0,0,50.7,43.2,12.7,85.2,70.8,12.05,12.24
