Team,Color 1,Color 2,Color 3,Color 4,
Air Force,#00308f,#a6a6a8,,,
Akron,#002147,#918b4c,,,
Alabama,#9e1b32,#FFFFFF,,,
Appalachian State,#222222,#ffcc00,,,
Arizona,#AB0520,#0C234B,,,
Arizona State,#990033,#FFB310,,,
Arkansas,#9D2235,#FFFFFF,,,
Arkansas State,#cc092f,#000000,#FFFFFF,,
Army West Point,#000000,#d3bc8d,,,
Auburn,#0C2340,#F26522,,,
Ball State,#BA0C2F,#FFFFFF,,,
Baylor,#003015,#fecb00,,,
Boise State,#09347A,#F1632A,,,
Boston College,#910039,#B38F59,,,
Bowling Green,#4F2C1D,#FE5000,,,
Buffalo,#005bbb,#FFFFFF,,,
BYU,#002255,#FFFFFF,,,
California,#041E42,#FFC72C,,,
Fresno State,#C41230,#002C76,,,
UCLA,#0072ce,#ffc72c,,,
UCF,#000000,#BA9B37,,,
Central Michigan,#6a0032,#ffc82e,,,
Charlotte,#046a38,#FFFFFF,,,
Cincinnati,#000000,#E00122,,,
Clemson,#F56600,#522D80,,,
Colorado,#000000,#CFB87C,#A2A4A3,,
Colorado State,#1E4D2B,#C8C372,,,
Connecticut,#000E2F,#FFFFFF,,,
Duke,#001A57,#FFFFFF,,,
Eastern Michigan,#006633,#FFFFFF,,,
East Carolina,#592A8A,#FDC82F,,,
FIU,#081E3F,#B6862C,,,
Florida,#0021a5,#FA4616,,,
Florida Atlantic,#003366,#CC0000,,,
Florida State,#782F40,#CEB888,,,
Georgia,#DA291C,#000000,,,
Georgia Southern,#011e41,#FFFFFF,,,
Georgia State,#0039A6,#FFFFFF,,,
Georgia Tech,#C59353,#FFFFFF,,,
Hawaii,#024731,#FFFFFF,#000000,#C0C0C0,???????
Houston,#C92839,#FFFFFF,,,
Idaho,#9F9D9D,#B18E5F,,,
Illinois,#e04e39,#13294b,,,
Indiana,#990000,#EEEDEB,,,
Iowa,#000000,#FFE100,,,
Iowa State,#a6192e,#FDC82F,,,
Kansas,#0051BA,#E8000D,,,
Kansas State,#512888,#FFFFFF,,,
Kent State,#002664,#EAAB00,,,
Kentucky,#0033A0,#FFFFFF,,,
LSU,#582c83,#ffc72c,,,
Louisiana Tech,#003087,#CB333B,,,
Louisiana-Lafayette,#ce181e,#FFFFFF,,,
Louisiana-Monroe,#800029,#bd955a,,,
Louisville,#AD0000,#000000,,,
Marshall,#006140,#FFFFFF,,,
Maryland,#c8102e,#FFFFFF,#000000,#FFCD00,
Massachusetts,#881c1c,#FFFFFF,,,
Memphis,#0D3182,#888C8F,,,
Miami (FL),#005030,#f47321,,,
Miami (OH),#B61E2E,#FFFFFF,,,
Michigan,#ffcb05,#00274c,,,
Michigan State,#18453B,#FFFFFF,,,
Middle Tennessee,#0066CC,#FFFFFF,,,
Minnesota,#7a0019,#ffcc33,,,
Ole Miss,#00205b,#c8102e,,,
Mississippi State,#660000,#FFFFFF,,,
Missouri,#000000,#F1B82D,,,
Navy,#00205b,#c5b783,,,
Nebraska,#e41c38,#fdf2d9,,,
Nevada,#003366,#807f84,,,
UNLV,#B10202,#666666,,,
New Mexico,#B71234,#C3C8C8,,,
New Mexico State,#8c0b42,#FFFFFF,,,
North Carolina,#7BAFD4,#FFFFFF,,,
NC State,#CC0000,#FFFFFF,,,
North Texas,#00853E,#FFFFFF,,,
NIU,#ba0c2f,#000000,,,
Northwestern,#4E2A84,#FFFFFF,,,
Notre Dame,#0C2340,#C99700,,,
Ohio,#00694E,#FFFFFF,,,
Ohio State,#bb0000,#666666,,,
Oklahoma,#841617,#FDF9D8,,,
Oklahoma State,#FF7300,#000000,,,
Old Dominion,#05344C,#7c878e,#92c1e9,dark blue unsure,
Oregon,#154733,#FEE123,,,
Oregon State,#C34500,#000000,,,
Penn State,#041e42,#FFFFFF,,,
Pittsburgh,#1c2957,#cdb87d,,,
Purdue,#000000,#CEB888,,,
Rice,#002469,#5e6062,,,
Rutgers,#d21034,,,,
San Diego State,#C41230,#000000,,,
San Jose State,#0055A2,#FFFFFF,#E5A823,,
South Alabama,#00205B,#FFFFFF,#BF0D3E,,
South Carolina,#73000A,#000000,,,
South Florida,#006747,#CFC493,,,
USC,#990000,#FFCC00,,,
SMU,#354ca1,cd2027,,,
Southern Miss,#000000,#FDC737,,,
Stanford ,#8C1515,#FFFFFF,,,
Syracuse,#D44500,,,,
TCU,#4d1979,#FFFFFF,,,
Temple,#990033,#FFFFFF,,,
Tennessee,#FF8200,#FFFFFF,,,
Texas,#BF5700,#FFFFFF,,,
Texas A&M,#500000,#FFFFFF,,,
Texas State,#501214,#8D734A,,,
Texas Tech,#CC0000,#000000,,,
UTEP,#002147,#FF5600,#B2B4B3,,
UTSA,#0c2340,#FFFFFF,#f15a22,,
Toledo,#002569,#ffce00,,,
Troy,#862633,#8a8d8f,#000000,,
Tulane,#005837,#0082ba,????? For both colors,,
Tulsa,#c5b783,#002d72,#c8102e,,
Utah,#CC0000,#FFFFFF,,,
Utah State,#0F2439,#FFFFFF,#9D968D,,
Vanderbilt,#000000,#997F3D,,,
Virginia,#041e42,#fa4616,,,
Virginia Tech,#660000,#FF6600,,,
Wake Forest,#000000,#9E7E38,,,
Washington,#363c74,#e8d3a2,,,
Washngton State,#981e32,#5e6a71,,,
West Virginia,#002855,#EAAA00,,,
Western Kentucky,#B01E24,#FFFFFF,,,
Western Michigan,#6c4023,#b5a167,,,
Wisconsin,#c5050c,#FFFFFF,,,
Wyoming,#492f24,#ffc425,,,
