RealGM ID,Season,Name,Position 1,Position 2,School,Conference,Wins,Losses,SOS,Class,Birthday,Draft Day Age,Height,Weight,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,AST/TOV,OFF RTG,DEF RTG,Hands-On Buckets,Pure Point Rating,FG/40,FGA/40,FG%,2FGM/40,2FGA/40,2FG%,3FGM/40,3FGA/40,3FG%,FT/40,FTA/40,FT%,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,FGM/100Poss,FGA/100Poss,2FGM/100Poss,2FGA/100Poss,3FGM/100Poss,3FGA/100Poss,FT/100Poss,FTA/100Poss,TRB/100Poss,AST/100Poss,STL/100Poss,BLK/100Poss,TOV/100Poss,PF/100Poss,PTS/100Poss,# Dunks,% Shots @ Rim,FG% @ Rim,%Astd @ Rim,% Shots @ Mid,FG% @ Mid,%Astd @ Mid,% Shots @ 3,%Astd @ 3,AAU Season,AAU Team,AAU League,AAU GP,AAU GS,AAU MIN,AAU PTS,AAU FGM,AAU FGA,AAU FG%,AAU 3PM,AAU 3PA,AAU 3P%,AAU FTM,AAU FTA,AAU FT%,AAU ORB,AAU DRB,AAU TRB,AAU AST,AAU STL,AAU BLK,AAU TOV,AAU PF,Event Year,Event Name,Event GP,Event MIN,Event PTS,Event FGM,Event FGA,Event FG%,Event 3PM,Event 3PA,Event 3P%,Event FTM,Event FTA,Event FT%,Event TRB,Event AST,Event STL,Event BLK,Event TOV,Event PF,Event Placement
117478,2021-22,Drew Timme,C,PF,Gonzaga,WCC,28.0,4.0,4.50,3,"Sep 9, 2000",21.81,82,235,43,32,32,896,27.5,.616,.596,.071,.439,567,7.9,16.7,12.8,17.6,0.5,2.6,14.2,29.9,3.6,1.9,5.6,.249,6.8,2.3,9.0,1.11,118.9,93.1,0.306,-2.1,10.4,17.7,.586,10.0,16.4,.609,0.4,1.3,.286,5.3,7.8,.678,9.6,3.9,0.4,1.1,3.5,2.3,26.3,14.0,23.9,13.5,22.3,0.5,1.7,7.1,10.5,13.1,5.3,0.5,1.5,4.8,3.1,35.7,15,59.1,69.2,48.8,33.8,46.3,45.2,7.1,100.0,2018-19,Drive Nation,Nike 17U,9,7,4.1,15.22,6.67,10.78,.619,0.00,0.44,.000,1.89,3.22,.586,0.00,7.22,7.22,1.56,1.22,1.22,1.00,2.89,,,,,,,,,,,,,,,,,,,,,
134799,2021-22,Chet Holmgren,PF,C,Gonzaga,WCC,28.0,4.0,4.50,1,"May 1, 2002",20.16,85,195,1,32,31,861,31.3,.691,.680,.375,.354,424,8.0,28.7,19.6,11.4,1.6,12.6,15.7,21.6,3.3,3.1,6.3,.294,7.5,7.5,15.0,1.0,127.0,78.7,0.221,-2.19,7.9,13.0,.607,6.0,8.1,.737,1.9,4.9,.390,3.3,4.6,.717,14.7,2.8,1.2,5.4,2.8,3.9,21.0,10.7,17.6,8.1,11.0,2.6,6.6,4.5,6.2,19.9,3.8,1.6,7.4,3.8,5.3,28.4,57,48.2,80.7,50.5,14.3,50.0,25.0,37.5,78.0,2018-19,Grassroots Sizzle,UAA 17U,8,8,21.6,7.12,3.00,6.12,.490,0.50,2.12,.235,0.62,1.38,.455,1.62,3.88,5.50,0.62,0.38,1.00,0.88,2.00,2021,U19 World Cup,7,21:18,11.9,4.4,7.1,.620,1.0,1.9,.538,2.0,3.0,.667,6.1,3.3,0.4,2.7,1.4,2.1,Gold
92194,2021-22,Andrew Nembhard,PG,,Gonzaga,WCC,28.0,4.0,4.50,4,"Jan 16, 2000",22.45,77,193,23,32,32,1029,18.1,.564,.534,.429,.177,436,1.6,8.7,5.6,26.3,2.7,0.4,15.6,18.6,2.8,2.2,5.0,.195,3.9,3.4,7.3,2.97,118.5,93.0,0.31,5.49,5.4,12.1,.452,3.5,6.9,.503,2.0,5.2,.383,1.9,2.1,.873,4.2,7.2,2.0,0.2,2.4,2.5,14.7,7.4,16.3,4.7,9.3,2.7,7.0,2.5,2.9,5.7,9.7,2.7,0.2,3.3,3.4,20.0,2,26.8,61.4,21.6,30.3,40.4,10.5,42.9,70.6,,,,,,,,,,,,,,,,,,,,,,,,,2018,U18 Americas Championship,18,26:08,9.5,3.6,7.5,.474,1.2,2.6,.447,1.2,1.9,.629,3.6,5.6,2.4,0.1,2.2,2.0,Silver
117369,2021-22,Julian Strawther,SG,SF,Gonzaga,WCC,28.0,4.0,4.50,2,"Apr 18, 2002",20.2,79,205,72,32,31,856,18.7,.615,.598,.546,.288,344,5.8,14.5,10.7,5.7,1.1,0.6,7.8,18.7,2.6,1.8,4.4,.205,5.0,1.9,6.8,1.23,126.1,93.9,0.16,-0.51,6.3,12.7,.498,3.8,5.7,.659,2.5,6.9,.365,2.6,3.6,.705,8.0,1.5,0.8,0.3,1.2,3.0,17.7,8.5,17.2,5.1,7.8,3.4,9.4,3.5,4.9,10.9,2.0,1.1,0.4,1.6,4.1,24.0,6,28.7,70.5,52.7,16.9,56.5,23.1,54.4,98.1,2018-19,Las Vegas Prospects,Nike 17U,10,10,2.9,14.20,5.00,13.30,.376,1.70,6.20,.274,2.50,4.10,.610,0.00,5.50,5.50,1.20,1.40,0.80,2.20,2.80,2019,U19 World Cup,7,28:44,22.0,8.3,18.3,.453,1.6,6.6,.239,3.9,6.0,.643,6.1,1.4,1.1,0.4,1.9,2.3,6th
104357,2021-22,Rasir Bolton,SG,PG,Gonzaga,WCC,28.0,4.0,4.50,4,"Sep 27, 1999",22.76,75,185,206,32,32,873,16.3,.656,.633,.567,.245,329,1.1,7.6,4.7,12.4,1.1,0.1,13.0,17.3,2.4,1.6,4.0,.184,4.3,2.0,6.3,1.78,125.3,97.1,0.188,0.82,5.6,11.2,.502,2.7,4.9,.557,2.9,6.4,.460,2.2,2.7,.817,3.6,3.3,0.8,0.0,1.9,2.8,16.4,7.6,15.2,3.7,6.6,4.0,8.6,3.0,3.7,4.8,4.5,1.1,0.1,2.5,3.8,22.3,5,33.5,62.2,29.4,9.8,33.3,0.0,56.7,81.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132419,2021-22,Anton Watson,SF,,Gonzaga,WCC,28.0,4.0,4.50,3,"Oct 6, 2000",21.73,80,225,48,32,0,578,22.9,.591,.554,.139,.544,262,9.4,17.1,13.7,15.5,3.7,1.8,15.3,19.5,1.8,1.7,3.4,.238,3.7,5.1,8.9,1.67,121.3,86.0,0.139,0.64,5.9,10.9,.538,5.5,9.4,.588,0.3,1.5,.227,4.2,6.0,.698,10.3,4.2,2.8,0.8,2.5,4.2,16.3,8.0,14.8,7.5,12.7,0.5,2.1,5.6,8.1,14.0,5.6,3.7,1.0,3.4,5.6,22.0,14,66.5,64.8,50.0,19.6,38.7,50.0,13.9,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151392,2021-22,Nolan Hickman,SG,PG,Gonzaga,WCC,28.0,4.0,4.50,1,"May 7, 2003",19.15,74,180,33,32,0,551,11.7,.536,.528,.542,.104,155,0.7,7.9,4.7,10.6,2.0,1.2,13.2,15.2,0.6,1.1,1.8,.128,0.9,3.1,4.0,1.78,106.5,94.5,0.1,0.74,4.6,10.5,.444,2.9,4.8,.606,1.7,5.7,.308,0.7,1.1,.667,3.6,3.0,1.5,0.5,1.7,2.1,11.8,6.3,14.2,3.9,6.5,2.4,7.7,1.0,1.5,4.8,4.0,2.0,0.7,2.3,2.9,15.9,1,27.1,71.8,57.1,18.8,44.4,8.3,54.2,83.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148725,2021-22,Hunter Sallis,SG,,Gonzaga,WCC,28.0,4.0,4.50,1,"Mar 26, 2003",19.26,77,180,21,32,0,436,14.3,.605,.589,.188,.238,131,5.0,9.8,7.7,6.7,2.4,1.1,15.7,14.7,0.7,1.0,1.7,.156,0.6,3.4,4.1,0.95,114.3,92.7,0.074,-1.66,5.2,9.3,.564,4.8,7.5,.634,0.5,1.7,.263,1.6,2.2,.708,5.8,1.8,1.7,0.5,1.9,3.2,12.5,7.1,12.6,6.5,10.2,0.6,2.4,2.1,3.0,7.8,2.5,2.4,0.6,2.6,4.3,16.9,10,64.4,70.8,52.2,16.8,35.3,33.3,18.8,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136595,2021-22,Ben Gregg,PF,SF,Gonzaga,WCC,17.0,0.0,4.50,1,,,82,225,86,17,0,107,16.3,.405,.413,.283,.152,48,14.6,18.6,16.9,14.2,1.5,6.9,9.2,24.4,0.1,0.3,0.4,.159,-2.5,2.1,-0.4,2.0,99.8,86.6,0.044,1.42,6.4,17.2,.370,4.9,12.3,.394,1.5,4.9,.308,0.7,2.6,.286,12.7,3.7,1.1,3.0,1.9,7.5,15.0,8.6,23.3,6.6,16.7,2.0,6.6,1.0,3.5,17.2,5.1,1.5,4.1,2.5,10.1,20.3,0,43.5,60.0,75.0,28.3,7.7,0.0,28.3,100.0,2018-19,Rose City Rebels,Nike 17U,2,1,0.0,5.00,1.50,5.50,.273,0.50,2.50,.200,1.50,1.50,1.000,0.00,5.00,5.00,1.00,1.00,0.50,1.00,1.00,,,,,,,,,,,,,,,,,,,,,
144075,2021-22,Matthew Lang,SG,PG,Gonzaga,WCC,17.0,0.0,4.50,4,,,75,185,,17,1,53,14.7,.607,.607,.714,.000,17,4.5,21.5,14.0,11.0,1.0,0.0,12.5,14.5,0.1,0.1,0.2,.181,0.3,2.7,3.0,2.0,121.3,91.3,0.018,1.11,5.3,10.6,.500,3.0,3.0,1.000,2.3,7.5,.300,0.0,0.0,,10.6,3.0,0.8,0.0,1.5,5.3,12.8,7.2,14.3,4.1,4.1,3.1,10.2,0.0,0.0,14.3,4.1,1.0,0.0,2.0,7.2,17.4,0,14.3,100.0,0.0,14.3,100.0,0.0,71.4,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
