,RealGM ID,Season,Name,Position 1,Position 2,Play Style,Height,Weight,School,Conference,Wins,Losses,SOS,Class,Birthday,Draft Day Age,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Stock%,TOV%,Adjusted TOV%,USG%,Offensive Load,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,AST/TOV,OFF RTG,DEF RTG,Hands-On Buckets,Pure Point Rating,FG/40,FGA/40,FG%,2FGM/40,2FGA/40,2FG%,3FGM/40,3FGA/40,3FG%,3 Point Proficiency,3 Point Confidence,FT/40,FTA/40,FT%,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,FGM/100Poss,FGA/100Poss,2FGM/100Poss,2FGA/100Poss,3FGM/100Poss,3FGA/100Poss,FT/100Poss,FTA/100Poss,TRB/100Poss,AST/100Poss,STL/100Poss,BLK/100Poss,TOV/100Poss,PF/100Poss,PTS/100Poss,FGA/100Poss,# Dunks,Dunk vs Rim Shot Percentage,% Dunks Unassisted,Dunks per Minute Played,Unassisted Shots @ Rim /100Poss,% Shots @ Rim,FG% @ Rim,%Astd @ Rim,% Shots @ Mid,FG% @ Mid,%Astd @ Mid,% Shots @ 3,%Astd @ 3,% Assisted,AAU Season,AAU Team,AAU League,AAU GP,AAU GS,AAU MIN,AAU PTS,AAU FGM,AAU FGA,AAU FG%,AAU 3PM,AAU 3PA,AAU_3P,AAU FTM,AAU FTA,AAU FT%,AAU ORB,AAU DRB,AAU TRB,AAU AST,AAU STL,AAU BLK,AAU TOV,AAU PF,Event Year,Event Name,Event GP,Event MIN,Event PTS,Event FGM,Event FGA,Event FG%,Event 3PM,Event 3PA,Event 3P%,Event FTM,Event FTA,Event FT%,Event TRB,Event AST,Event STL,Event BLK,Event TOV,Event PF,Event Placement,Finishing Score,Shooting Score,Shot Creation Score,Passing Score,Rebounding Score,Athleticism Score,Defense Score,College Productivity Score,Percentile Score,Box Score Creation,Rim Shot Creation,Helio Score,Draft Score
611,118702,2021-22,Collin Gillespie,PG,,Shooter,75,190.0,Villanova,Big East,30.0,8.0,10.29,4.0,"Jun 25, 1999",23.02,200.0,38,38,1301,21.5,0.608,0.565,0.628,0.268,564.0,1.5,11.6,6.6,20.2,1.9,0.0,0.0,11.4,0.086,23.0,34.982,4.8,1.7,6.5,0.201,6.6,2.6,9.2,1.92,124.8,101.9,0.335,1.46,5.8,13.3,0.434,2.3,5.0,0.466,3.5,8.4,0.415,0.338,0.49975071907957813,3.2,3.6,0.905,4.5,3.7,1.2,0.0,1.9,2.2,18.3,9.1,20.9,3.6,7.8,5.5,13.2,5.1,5.6,7.0,5.9,1.9,0.0,3.0,3.5,28.7,20.9,0.0,0.0,0.0,0.0,3.831032699999999,21.9,51.6,16.3,15.2,39.4,3.8,62.8,57.5,40.257299999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2222222222222222,0.9753086419753086,0.9259259259259259,0.6904761904761905,0.6845238095238095,0.3,0.20238095238095238,1.0,62.5,5.864,50.864,1.6599160760415879,0.6620876690580397
437,117531,2021-22,Kennedy Chandler,PG,,Athletic,72,171.0,Tennessee,SEC,27.0,7.0,9.94,1.0,"Sep 16, 2002",19.79,9.0,34,34,1048,20.2,0.539,0.527,0.327,0.253,479.0,2.5,9.7,6.0,32.3,4.1,0.9,1.476,16.2,0.116,25.0,40.679,2.2,2.4,4.6,0.176,4.2,4.8,9.0,1.89,107.8,92.1,0.384,2.14,6.9,15.0,0.464,5.1,10.1,0.504,1.9,4.9,0.383,0.254,0.35279154929577466,2.3,3.8,0.606,4.2,6.1,2.8,0.3,3.2,2.6,18.1,10.1,21.8,7.4,14.7,2.7,7.1,3.3,5.5,6.1,9.0,4.1,0.4,4.7,3.8,26.3,21.8,9.0,5.16,1.6243473599999998,0.008587786259541985,6.8625528000000005,44.4,59.2,29.1,23.0,33.3,23.3,32.7,79.6,44.3086,,,,,,,,,,,,,,,,,,,,,,,,,2021.0,U19 World Cup,7,19:49,7.7,3.0,7.1,.420,1.3,3.3,.391,0.4,0.6,.750,2.9,3.4,1.4,0.0,2.0,1.6,Gold,0.8703703703703703,0.4444444444444444,0.7901234567901234,0.8333333333333334,0.5654761904761905,0.85,0.9166666666666666,0.9880952380952381,78.2,7.005,58.44,2.577149031481225,0.781693667737459
576,120134,2021-22,Mylik Wilson,PG,,Athletic,75,175.0,Texas Tech,Big 12,24.0,8.0,8.65,3.0,"Sep 20, 2000",21.78,337.0,32,5,485,13.7,0.483,0.451,0.169,0.38,102.0,2.4,10.7,6.7,18.7,4.7,4.9,4.797916666666667,24.4,0.17,11.8,19.373,0.3,1.4,1.7,0.137,0.6,7.6,8.3,1.96,98.7,85.8,0.1,1.76,2.6,5.9,0.437,2.4,4.9,0.492,0.2,1.0,0.167,0.067,0.16799404761904763,1.4,2.2,0.63,4.5,4.4,3.1,1.4,2.2,2.1,6.7,3.8,8.7,3.6,7.2,0.2,1.5,2.1,3.3,6.6,6.5,4.7,2.1,3.3,3.2,9.9,8.7,7.0,15.76,5.0892192,0.01443298969072165,2.8094039999999993,62.1,61.0,48.0,21.2,14.3,0.0,16.7,100.0,46.507999999999996,2018-19,Woodz Elite,Nike 17U,9.0,9.0,13.6,12.56,4.67,14.44,0.323,1.33,7.11,0.188,1.89,2.11,0.895,0.0,3.56,3.56,2.0,0.78,0.78,1.56,2.0,,,,,,,,,,,,,,,,,,,,,,0.9382716049382716,0.024691358024691357,0.20987654320987653,0.7380952380952381,0.7142857142857143,0.9375,1.0,0.9523809523809523,68.89999999999999,1.464,49.698,0.56402244475504,0.47165227436280815
263,139169,2021-22,Reece Beekman,PG,SF,Floor General,75,181.0,Virginia,ACC,21.0,14.0,6.6,2.0,"Oct 8, 2001",20.73,70.0,35,35,1230,18.2,0.516,0.492,0.254,0.18,339.0,1.6,12.4,7.1,30.2,4.0,2.5,3.0769230769230766,15.3,0.097,15.6,27.931,2.1,2.2,4.2,0.138,2.4,5.2,7.6,3.62,111.0,97.4,0.362,6.6,3.7,8.3,0.449,3.0,6.2,0.487,0.7,2.1,0.338,0.202,0.2900405405405405,1.1,1.5,0.761,4.4,5.9,2.4,0.8,1.6,2.0,9.3,6.2,13.9,5.0,10.4,1.2,3.5,1.9,2.5,7.4,9.8,4.0,1.4,2.7,3.4,15.6,13.9,13.0,9.59,3.83449437,0.01056910569105691,5.5578177,53.1,56.6,24.7,21.5,29.1,18.8,25.4,90.9,40.2463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8395061728395061,0.18518518518518517,0.49382716049382713,0.9880952380952381,0.7738095238095238,0.8625,0.9642857142857143,0.7738095238095238,73.5,4.029,55.388,1.8337626183549214,0.7352475159759192
684,117350,2021-22,Posh Alexander,PG,,Athletic,72,200.0,St. John's (NY),Big East,16.0,13.0,6.51,2.0,"Mar 31, 2001",21.25,300.0,29,25,925,22.6,0.557,0.52,0.195,0.352,453.0,8.5,6.0,7.3,29.3,3.9,0.6,1.04,16.3,0.117,21.5,35.121,2.6,1.2,3.9,0.168,5.1,2.3,7.5,2.27,115.8,101.7,0.351,3.59,6.6,13.3,0.498,6.1,10.7,0.567,0.6,2.6,0.217,0.123,0.2054126213592233,3.5,4.7,0.741,5.5,6.9,2.9,0.2,3.0,2.1,17.3,8.9,17.9,8.2,14.4,0.8,3.5,4.7,6.3,7.5,9.3,3.9,0.3,4.1,2.8,23.3,17.9,1.0,0.61,0.14821169999999997,0.001081081081081081,4.349162999999999,53.4,67.1,54.5,27.0,36.1,20.0,19.5,92.3,52.5015,2018-19,New York Lightning,Nike 17U,10.0,8.0,11.7,14.1,4.7,9.9,0.475,0.9,2.7,0.333,3.2,4.4,0.727,0.0,3.4,3.4,4.4,1.5,0.0,1.7,2.6,,,,,,,,,,,,,,,,,,,,,,0.9691358024691358,0.2345679012345679,0.5802469135802469,0.9345238095238095,0.8154761904761905,0.6,0.5714285714285714,0.8214285714285714,69.1,4.72,56.217,1.206032143143086,0.6091498692312564
11,135606,2021-22,TyTy Washington,PG,,Floor General,75,197.0,Kentucky,SEC,23.0,8.0,8.02,1.0,"Nov 15, 2001",20.62,15.0,31,29,905,19.3,0.528,0.504,0.306,0.19,391.0,2.6,10.7,6.8,22.7,2.6,0.7,1.103030303030303,12.2,0.091,22.5,36.165,2.4,1.5,3.9,0.171,4.1,3.3,7.4,2.35,114.8,98.4,0.288,3.17,6.7,14.9,0.451,5.1,10.3,0.496,1.6,4.6,0.35,0.228,0.32652439024390245,2.1,2.8,0.75,4.7,5.3,1.8,0.3,2.3,2.1,17.1,9.7,21.5,7.4,14.9,2.3,6.6,3.1,4.1,6.8,7.7,2.6,0.4,3.3,3.0,24.8,21.5,2.0,3.17,0.44103575999999994,0.0022099447513812156,2.9912520000000007,18.7,68.3,25.6,50.7,42.7,17.8,30.6,80.6,38.4754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6790123456790124,0.8148148148148148,0.691358024691358,0.8690476190476191,0.7380952380952381,0.5875,0.7678571428571429,0.9047619047619048,75.7,5.295,61.604,2.56138343384,0.7881291871305403
2,92194,2021-22,Andrew Nembhard,PG,,Floor General,77,193.0,Gonzaga,WCC,28.0,4.0,4.5,4.0,"Jan 16, 2000",22.45,23.0,32,32,1029,18.1,0.564,0.534,0.429,0.177,436.0,1.6,8.7,5.6,26.3,2.7,0.4,0.6967741935483871,15.6,0.102,18.6,32.31,2.8,2.2,5.0,0.195,3.9,3.4,7.3,2.97,118.5,93.0,0.31,5.49,5.4,12.1,0.452,3.5,6.9,0.503,2.0,5.2,0.383,0.273,0.4046970443349754,1.9,2.1,0.873,4.2,7.2,2.0,0.2,2.4,2.5,14.7,7.4,16.3,4.7,9.3,2.7,7.0,2.5,2.9,5.7,9.7,2.7,0.2,3.3,3.4,20.0,16.3,2.0,2.4,0.5042688,0.001943634596695821,3.4248256,26.8,61.4,21.6,30.3,40.4,10.5,42.9,70.6,39.2577,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,U18 Americas Championship,18,26:08,9.5,3.6,7.5,.474,1.2,2.6,.447,1.2,1.9,.629,3.6,5.6,2.4,0.1,2.2,2.0,Silver,0.7283950617283951,0.9382716049382716,0.7777777777777778,1.0,0.4583333333333333,0.44375,0.75,0.7261904761904762,72.8,5.817,57.534,2.086605882303625,0.732599168681591
926,121600,2021-22,Jacob Gilyard,PG,,Floor General,69,160.0,Richmond,A-10,24.0,13.0,4.48,4,"Jul 14, 1998",23.96,367.0,37,37,1426,20.0,0.556,0.514,0.661,0.253,533.0,1.5,9.1,5.3,26.8,4.5,0.5,0.8999999999999999,11.6,0.079,18.8,30.555,3.5,2.2,5.7,0.159,3.7,3.3,7.1,3.41,116.4,99.8,0.379,5.31,4.4,11.1,0.395,1.7,3.8,0.463,2.6,7.3,0.36,0.299,0.4661312438785505,2.4,2.8,0.86,3.6,5.6,3.0,0.2,1.6,1.7,13.8,6.5,16.5,2.6,5.6,3.9,10.9,3.6,4.2,5.3,8.2,4.5,0.3,2.4,2.5,20.5,16.5,0.0,0.0,0.0,0.0,1.8204450000000003,17.0,55.2,35.1,17.0,37.3,8.0,66.1,68.1,52.34109999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2037037037037037,0.9259259259259259,0.8518518518518519,0.9345238095238095,0.3630952380952381,0.35,0.6190476190476191,0.6904761904761905,61.7,5.115,46.488,0.20896486065937905,0.339566887128828
776,107386,2021-22,Tyger Campbell,PG,,Floor General,71,180.0,UCLA,Pac-12,25.0,8.0,8.36,3.0,"Jan 9, 2000",22.47,91.0,33,33,1068,18.2,0.563,0.524,0.392,0.257,406.0,1.5,7.6,4.5,24.0,1.9,0.4,0.6608695652173914,11.2,0.079,19.0,31.632,3.0,1.5,4.5,0.17,4.3,2.4,6.8,3.2,120.7,100.9,0.304,4.84,5.2,11.6,0.444,3.3,7.1,0.466,1.9,4.6,0.41,0.285,0.4007980049875312,2.5,3.0,0.838,3.1,5.3,1.3,0.1,1.6,2.3,14.7,7.8,17.5,5.0,10.6,2.8,6.9,3.8,4.5,4.6,7.9,1.9,0.2,2.5,3.5,22.1,17.5,0.0,0.0,0.0,0.0,3.00125,19.6,52.5,12.5,41.2,43.8,14.3,39.2,62.0,32.6456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2345679012345679,0.9876543209876543,0.7654320987654321,0.9047619047619048,0.13095238095238096,0.55,0.47619047619047616,0.9285714285714286,62.2,5.212,51.732,0.8316435857328286,0.5886744188773398
849,126854,2021-22,Tramon Mark,PG,,Scorer,77,195.0,Houston,AAC,5.0,2.0,6.47,2,,,87.0,7,0,143,23.3,0.563,0.5,0.327,0.309,68.0,2.4,11.1,6.8,23.2,4.3,1.9,2.635483870967742,13.7,0.105,26.1,40.851,0.5,0.4,0.8,0.236,1.8,4.9,6.7,1.7,116.9,88.3,0.19,0.94,7.0,15.4,0.455,5.6,10.3,0.541,1.4,5.0,0.278,0.184,0.30051570247933884,4.5,4.8,0.941,4.8,4.8,2.8,0.6,2.8,4.8,19.9,10.8,23.7,8.6,15.9,2.2,7.7,6.9,7.3,7.3,7.3,4.3,0.9,4.3,7.3,30.5,23.7,3.0,21.37,4.359480000000001,0.02097902097902098,4.8348,25.5,71.4,20.0,41.8,43.5,20.0,32.7,80.0,39.620000000000005,2018-19,Texas PRO,Gold Gauntlet 17U,4.0,4.0,27.8,15.0,4.75,11.75,0.404,2.25,5.75,0.391,3.25,4.5,0.722,0.5,2.25,2.75,1.75,0.0,0.25,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,0.7901234567901234,0.7962962962962963,0.5925925925925926,0.6785714285714286,0.7380952380952381,0.9625,0.9880952380952381,0.8095238095238095,79.4,5.824,68.531,,
