,Unnamed: 0,Unnamed: 0.1,RealGM ID,Season,Name,Position 1,Position 2,Play Style,Height,Weight,School,Conference,Wins,Losses,SOS,Class,Birthday,Draft Day Age,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Stock%,TOV%,Adjusted TOV%,USG%,Offensive Load,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,AST/TOV,OFF RTG,DEF RTG,Hands-On Buckets,Pure Point Rating,FG/40,FGA/40,FG%,2FGM/40,2FGA/40,2FG%,3FGM/40,3FGA/40,3FG%,3 Point Proficiency,3 Point Confidence,FT/40,FTA/40,FT%,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,FGM/100Poss,FGA/100Poss,2FGM/100Poss,2FGA/100Poss,3FGM/100Poss,3FGA/100Poss,FT/100Poss,FTA/100Poss,TRB/100Poss,AST/100Poss,STL/100Poss,BLK/100Poss,TOV/100Poss,PF/100Poss,PTS/100Poss,FGA/100Poss.1,# Dunks,Dunk vs Rim Shot Percentage,% Dunks Unassisted,Dunks per Minute Played,Unassisted Shots @ Rim /100Poss,% Shots @ Rim,FG% @ Rim,%Astd @ Rim,% Shots @ Mid,FG% @ Mid,%Astd @ Mid,% Shots @ 3,%Astd @ 3,% Assisted,AAU Season,AAU Team,AAU League,AAU GP,AAU GS,AAU MIN,AAU PTS,AAU FGM,AAU FGA,AAU FG%,AAU 3PM,AAU 3PA,AAU 3P%,AAU FTM,AAU FTA,AAU FT%,AAU ORB,AAU DRB,AAU TRB,AAU AST,AAU STL,AAU BLK,AAU TOV,AAU PF,Event Year,Event Name,Event GP,Event MIN,Event PTS,Event FGM,Event FGA,Event FG%,Event 3PM,Event 3PA,Event 3P%,Event FTM,Event FTA,Event FT%,Event TRB,Event AST,Event STL,Event BLK,Event TOV,Event PF,Event Placement,Box Score Creation,Rim Shot Creation,Helio Score,Athleticism Score,Passing Score,Rebounding Score,Shooting Score,Finishing Score,Defense Score,Shot Creation Score,College Productivity Score,Overall Score
0,3,121,120134,2021-22,Mylik Wilson,PG,,Athletic,75,175.0,Texas Tech,Big 12,24.0,8.0,8.65,3.0,"Sep 20, 2000",21.78,337.0,32,5,485,13.7,0.483,0.451,0.169,0.38,102.0,2.4,10.7,6.7,18.7,4.7,4.9,4.797916666666667,24.4,0.17,11.8,19.373,0.3,1.4,1.7,0.137,0.6,7.6,8.3,1.96,98.7,85.8,0.1,1.76,2.6,5.9,0.437,2.4,4.9,0.492,0.2,1.0,0.167,0.067,0.1679940476190476,1.4,2.2,0.63,4.5,4.4,3.1,1.4,2.2,2.1,6.7,3.8,8.7,3.6,7.2,0.2,1.5,2.1,3.3,6.6,6.5,4.7,2.1,3.3,3.2,9.9,8.7,7.0,15.76,5.0892192,0.0144329896907216,2.809404,62.1,61.0,48.0,21.2,14.3,0.0,16.7,100.0,46.508,2018-19,Woodz Elite,Nike 17U,9.0,9.0,13.6,12.56,4.67,14.44,0.323,1.33,7.11,0.188,1.89,2.11,0.895,0.0,3.56,3.56,2.0,0.78,0.78,1.56,2.0,,,,,,,,,,,,,,,,,,,,,,1.464,49.698,0.421047313673166,0.8974358974358975,0.9338842975206612,0.3305785123966942,0.05042016806722689,0.8151260504201681,0.9958677685950413,0.25210084033613445,0.9297520661157025,65.10000000000001
1,28,38,107882,2021-22,Francisco Farabello,PG,,Shooter,75,183.0,TCU,Big 12,21.0,13.0,10.16,3.0,"Nov 1, 2000",21.66,142.0,34,6,646,11.8,0.583,0.541,0.811,0.246,152.0,1.3,13.5,7.4,12.0,1.7,0.2,0.3578947368421052,17.0,0.135,12.7,19.32,1.0,1.0,2.0,0.123,1.9,3.4,5.3,1.54,115.8,99.5,0.104,0.11,2.9,7.6,0.385,0.6,1.4,0.391,2.4,6.1,0.384,0.348,0.5212117154811716,1.7,1.9,0.9,5.1,2.7,1.2,0.1,1.7,1.5,9.8,4.3,11.2,0.8,2.1,3.5,9.1,2.5,2.8,7.6,4.0,1.7,0.1,2.6,2.3,14.6,11.2,0.0,0.0,0.0,0.0,0.8815071999999999,11.8,42.9,33.3,7.6,33.3,33.3,80.7,88.6,77.96039999999999,,,,,,,,,,,,,,,,,,,,,,,,,2019.0,U19 World Cup,26.0,21:58,6.0,2.1,6.5,0.327,0.8,2.9,0.267,1.0,1.3,0.765,4.2,3.9,1.6,0.0,1.9,1.4,11th,1.801,35.681,0.5629871037892045,0.10256410256410256,0.743801652892562,0.4049586776859504,0.8571428571428571,0.01680672268907563,0.3305785123966942,0.15966386554621848,0.9049586776859504,44.0
2,32,96,88989,2021-22,Courtney Ramey,PG,,Shooter,75,185.0,Texas,Big 12,22.0,12.0,8.87,4.0,"Oct 2, 1999",22.75,43.0,34,32,1024,13.0,0.519,0.486,0.505,0.245,297.0,1.9,12.6,7.2,10.4,2.1,0.8,1.1586206896551725,11.5,0.097,18.2,24.813,1.4,1.9,3.3,0.129,2.1,2.9,5.0,1.32,106.5,96.3,0.196,-0.49,4.3,10.8,0.397,2.4,5.4,0.445,1.9,5.5,0.35,0.263,0.4134502923976608,2.0,2.7,0.765,4.7,2.1,1.4,0.3,1.6,2.7,12.5,6.7,16.8,3.7,8.3,3.0,8.5,3.1,4.1,7.3,3.2,2.1,0.4,2.4,4.2,19.4,16.8,0.0,0.0,0.0,0.0,1.6043328,18.4,52.9,48.1,31.0,39.5,17.6,50.5,87.8,58.6454,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,adidas Nations,5.0,21:36,6.6,2.0,4.6,0.435,1.0,2.2,0.455,1.6,2.4,0.667,4.0,4.4,0.4,0.0,1.6,2.2,6th,1.971,41.479,0.3705995648715359,0.1452991452991453,0.5702479338842975,0.39669421487603307,0.7310924369747899,0.12605042016806722,0.6239669421487604,0.453781512605042,0.8429752066115702,48.6
3,56,54,132494,2021-22,Justice Hill,PG,,Floor General,72,175.0,Murray State,OVC,31.0,3.0,-3.07,2.0,"May 14, 2000",22.13,396.0,34,34,1065,19.2,0.542,0.515,0.466,0.238,483.0,1.3,6.9,4.1,28.8,2.0,0.5,0.8,13.4,0.093,22.5,38.657,3.2,1.8,5.1,0.19,3.3,0.3,3.6,2.66,117.8,98.0,0.344,4.76,6.1,14.2,0.431,3.8,7.6,0.495,2.4,6.6,0.358,0.262,0.4049223300970874,2.5,3.4,0.744,2.9,6.5,1.4,0.2,2.4,1.7,17.1,9.0,20.8,5.5,11.1,3.5,9.7,3.7,5.0,4.2,9.5,2.0,0.2,3.6,2.5,25.1,20.8,2.0,1.59,0.48975975,0.0018779342723004,6.40692,33.3,53.2,7.5,20.1,43.4,6.1,46.6,65.1,34.060199999999995,2018-19,Arkansas Hawks,Gold Gauntlet 17U,3.0,3.0,26.3,16.67,6.0,11.67,0.514,1.67,4.0,0.417,3.0,4.33,0.692,1.0,1.0,2.0,2.33,2.0,0.0,2.0,1.67,,,,,,,,,,,,,,,,,,,,,,6.897,57.532,0.5704691270063378,0.42735042735042733,1.0,0.045454545454545456,0.865546218487395,0.31932773109243695,0.4628099173553719,0.957983193277311,0.5165289256198347,57.4
4,77,99,122504,2021-22,Tyrell Roberts,PG,,Scorer,71,170.0,Washington State,Pac-12,22.0,14.0,5.97,4.0,,,,36,31,1055,12.1,0.491,0.46,0.615,0.135,385.0,1.6,8.5,4.9,14.2,1.4,0.0,0.0,11.5,0.095,22.3,31.551,1.5,1.4,2.9,0.109,1.2,1.1,2.3,1.33,104.4,102.3,0.238,-0.58,5.3,14.9,0.355,2.1,5.7,0.371,3.1,9.1,0.344,0.278,0.4412095933263816,1.9,2.0,0.925,3.6,2.7,0.9,0.0,2.0,2.9,15.5,7.8,22.0,3.1,8.5,4.7,13.6,2.8,3.0,5.3,4.0,1.4,0.0,3.0,4.3,23.1,22.0,0.0,0.0,0.0,0.0,3.801071999999999,18.4,45.8,6.1,20.2,29.1,8.7,61.5,60.2,39.9028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,48.023,,0.1282051282051282,0.6115702479338843,0.09917355371900827,0.5546218487394958,0.08823529411764706,0.128099173553719,0.8067226890756303,0.21487603305785125,32.9
5,83,55,88968,2021-22,Nick Honor,PG,,Floor General,70,200.0,Clemson,ACC,17.0,16.0,6.31,3.0,"Oct 8, 2000",21.73,238.0,33,25,837,12.9,0.514,0.476,0.5,0.184,261.0,1.3,5.0,3.2,17.7,2.0,0.3,0.5217391304347826,11.1,0.084,17.8,26.296,1.3,0.7,2.0,0.094,1.0,0.8,1.9,2.55,108.1,107.3,0.199,2.63,4.3,10.9,0.395,2.5,5.4,0.465,1.8,5.4,0.325,0.244,0.393939393939394,1.8,2.0,0.905,2.2,3.8,1.3,0.1,1.5,2.1,12.2,6.5,16.4,3.8,8.2,2.7,8.2,2.7,3.0,3.2,5.7,2.0,0.1,2.2,3.1,18.3,16.4,0.0,0.0,0.0,0.0,4.4176188000000005,30.3,52.2,11.1,19.7,37.8,29.4,50.0,78.4,48.3551,,,,,,,,,,,,,,,,,,,,,,,,,2019.0,Universiade,6.0,19:29,6.5,2.2,6.0,0.361,1.5,3.7,0.409,0.7,1.0,0.667,1.7,2.0,0.5,0.0,0.5,2.0,Gold,2.939,53.446,0.1169365694986951,0.1623931623931624,0.9421487603305785,0.008264462809917356,0.7563025210084033,0.24789915966386555,0.07024793388429752,0.4789915966386555,0.11570247933884298,34.8
6,101,57,129721,2021-22,Ithiel Horton,PG,,Shooter,77,200.0,Pitt,ACC,3.0,10.0,6.98,3.0,"Jun 26, 2000",22.01,,13,8,391,11.1,0.49,0.463,0.541,0.131,115.0,2.5,8.5,5.5,10.5,2.2,0.3,0.528,13.9,0.121,20.8,27.245,0.2,0.2,0.4,0.044,0.5,-0.1,0.4,0.81,96.0,110.1,0.213,-2.63,4.5,12.5,0.361,1.9,5.7,0.339,2.6,6.8,0.379,0.292,0.4457369565217392,1.4,1.6,0.875,3.6,1.7,1.4,0.1,2.1,1.5,13.0,7.0,19.4,3.0,8.9,4.0,10.5,2.2,2.5,5.6,2.7,2.2,0.2,3.3,2.4,20.2,19.4,0.0,0.0,0.0,0.0,1.8166936,16.4,35.0,42.9,29.5,33.3,16.7,54.1,80.0,55.2421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.987,29.476,0.5812469129805302,0.02564102564102564,0.32231404958677684,0.18181818181818182,0.7058823529411765,0.03361344537815126,0.0371900826446281,0.592436974789916,0.06611570247933884,24.6
7,104,31,134212,2021-22,Dashawn Davis,PG,,Floor General,74,190.0,Oregon State,Pac-12,3.0,24.0,8.4,3.0,"Nov 30, 2000",21.58,366.0,27,21,874,16.0,0.494,0.474,0.178,0.216,339.0,2.3,9.5,5.8,34.5,2.6,0.3,0.5379310344827586,18.2,0.129,21.6,34.939,1.0,0.0,1.1,0.048,1.6,-1.4,0.1,2.24,100.8,115.6,0.383,3.77,5.6,12.3,0.457,5.2,10.1,0.516,0.4,2.2,0.188,0.103,0.182863387978142,1.7,2.7,0.655,3.8,6.8,1.7,0.1,3.0,2.2,13.4,8.3,18.2,7.7,14.9,0.6,3.2,2.6,3.9,5.7,10.0,2.6,0.1,4.5,3.3,19.8,18.2,8.0,7.85,2.5645793,0.0091533180778032,5.9459036,37.9,63.7,13.8,44.2,41.2,12.2,17.8,33.3,16.549999999999997,2018-19,New York Lightning,Nike 17U,10.0,8.0,12.5,14.7,5.6,11.2,0.5,0.8,2.4,0.333,2.7,4.2,0.643,0.0,3.5,3.5,4.8,1.8,0.2,2.4,2.0,,,,,,,,,,,,,,,,,,,,,,4.227,64.999,1.0731735569700795,0.4358974358974359,0.9834710743801653,0.23553719008264462,0.40336134453781514,0.6890756302521008,0.0371900826446281,0.9327731092436975,0.15702479338842976,48.4
8,109,86,136005,2021-22,Femi Odukale,PG,,Primary,78,205.0,Pitt,ACC,11.0,20.0,6.98,2.0,"Jan 21, 2001",21.44,183.0,31,28,1005,12.2,0.491,0.446,0.336,0.539,350.0,3.2,9.9,6.6,24.5,1.9,1.8,1.8486486486486484,20.2,0.157,22.9,33.808,0.5,0.6,1.2,0.047,-0.5,0.0,-0.5,1.21,95.0,109.3,0.32,-1.76,4.2,10.8,0.391,3.0,7.2,0.422,1.2,3.6,0.33,0.219,0.332972972972973,3.7,5.8,0.63,4.3,4.1,1.2,0.6,3.4,3.4,13.3,6.6,16.8,4.7,11.2,1.9,5.6,5.7,9.0,6.6,6.4,1.9,0.9,5.3,5.3,20.7,16.8,6.0,5.76,1.97738496,0.0059701492537313,5.7673728,38.4,45.2,10.6,28.0,38.2,0.0,33.6,70.0,27.5904,2018-19,SportsU,UAA 17U,4.0,0.0,11.8,5.25,1.75,5.0,0.35,0.5,0.5,1.0,1.25,1.75,0.714,1.25,2.5,3.75,1.0,1.25,0.0,0.75,4.0,,,,,,,,,,,,,,,,,,,,,,4.123,48.567,1.9209866110947165,0.9829059829059829,0.5867768595041323,0.30991735537190085,0.4957983193277311,0.2815126050420168,0.3884297520661157,0.8991596638655462,0.049586776859504134,49.9
9,112,43,89977,2021-22,Brevin Galloway,PG,,Scorer,74,215.0,Boston College,ACC,10.0,15.0,5.22,4.0,"Dec 13, 1997",24.55,,25,5,621,8.9,0.422,0.402,0.735,0.111,191.0,0.4,7.2,3.6,11.8,2.8,0.8,1.2444444444444445,11.2,0.096,23.4,31.399,-0.2,0.6,0.4,0.028,-1.2,0.3,-0.9,1.16,87.7,105.9,0.173,-1.17,4.6,15.1,0.308,1.8,4.0,0.452,2.8,11.1,0.256,0.222,0.3797376387487386,1.3,1.7,0.769,2.4,2.3,1.8,0.3,2.0,2.1,13.4,7.1,23.0,2.8,6.1,4.3,16.9,2.0,2.6,3.6,3.5,2.8,0.4,3.0,3.2,20.5,23.0,0.0,0.0,0.0,0.0,1.87427,14.5,47.1,43.8,12.0,42.9,25.0,73.5,79.5,67.7835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,38.508,0.0,0.08974358974358974,0.48760330578512395,0.024793388429752067,0.6974789915966386,0.04201680672268908,0.2892561983471074,0.5546218487394958,0.01652892561983471,27.500000000000004
