RealGM ID,Season,Name,Position 1,Position 2,Play Style,Height,Weight,School,Conference,Wins,Losses,SOS,Class,Birthday,Draft Day Age,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Stock%,Harmonic STK%,TOV%,Adjusted TOV%,USG%,Offensive Load,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,AST/TOV,OFF RTG,DEF RTG,Hands-On Buckets,Pure Point Rating,FG/40,FGA/40,FG%,2FGM/40,2FGA/40,2FG%,3FGM/40,3FGA/40,3FG%,3 Point Proficiency,3 Point Confidence,FT/40,FTA/40,FT%,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,FGM/100Poss,FGA/100Poss,2FGM/100Poss,2FGA/100Poss,3FGM/100Poss,3FGA/100Poss,FT/100Poss,FTA/100Poss,TRB/100Poss,AST/100Poss,STL/100Poss,BLK/100Poss,TOV/100Poss,PF/100Poss,PTS/100Poss,# Dunks,Dunk vs Rim Shot Percentage,% Dunks Unassisted,Dunks per Minute Played,Unassisted Shots @ Rim /100Poss,% Shots @ Rim,FG% @ Rim,%Astd @ Rim,% Shots @ Mid,FG% @ Mid,%Astd @ Mid,% Shots @ 3,%Astd @ 3,% Assisted,Adj OFF +/-,Adj DEF +/-,AAU Season,AAU Team,AAU League,AAU GP,AAU GS,AAU MIN,AAU PTS,AAU FGM,AAU FGA,AAU FG%,AAU 3PM,AAU 3PA,AAU 3P%,AAU FTM,AAU FTA,AAU FT%,AAU ORB,AAU DRB,AAU TRB,AAU AST,AAU STL,AAU BLK,AAU TOV,AAU PF,Event Year,Event Name,Event GP,Event MIN,Event PTS,Event FGM,Event FGA,Event FG%,Event 3PM,Event 3PA,Event 3P%,Event FTM,Event FTA,Event FT%,Event TRB,Event AST,Event STL,Event BLK,Event TOV,Event PF,Event Placement,Finishing Score,Shooting Score,Shot Creation Score,Passing Score,Rebounding Score,Athleticism Score,Defense Score,College Productivity Score,Percentile Score,Box Score Creation,Rim Shot Creation,Helio Score,Draft Score,Image Link
56842,2014-15,Delon Wright,PG,,Athletic,77.0,181.4,Utah,Pac-12,26.0,9.0,7.42,4.0,"Apr 26, 1992",23.18,159.0,35.0,35.0,1165.0,29.2,0.619,0.549,22.5,0.565,558.0,4.0,13.7,9.3,33.0,4.0,3.2,3.555555555555556,3.555555555555556,14.2,0.097,22.8,38.256,5.3,3.1,8.4,0.289,8.7,6.9,15.5,2.62,129.8,87.7,0.404,4.54,5.7,11.1,0.509,4.8,8.6,0.554,0.9,2.5,35.6,0.212,0.2757314974182444,5.3,6.3,0.836,5.9,6.1,2.5,1.2,2.3,1.7,17.5,9.0,17.8,7.6,13.8,1.4,4.0,8.4,10.0,9.5,9.8,4.0,1.9,3.7,2.7,27.9,17.0,10.84,4.5266214,0.0145922746781115,7.433013000000001,48.5,64.3,13.9,29.0,40.4,2.6,22.5,53.8,19.6005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9352226720647774,0.4939271255060729,0.1781376518218623,0.8697749196141479,0.6000000000000001,0.9676113360323888,,,,7.001,67.242,2.523362524546585,,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Wright_Delon_was22.jpg
7118,2010-11,Kyrie Irving,PG,,Shooter,75.0,191.0,Duke,ACC,10.0,1.0,8.32,1.0,"Mar 23, 1992",19.27,2.0,11.0,8.0,303.0,32.5,0.697,0.615,37.5,0.683,189.0,2.3,10.6,6.7,29.8,3.0,1.8,2.25,2.2500000000000004,16.4,0.114,26.4,44.621,1.8,0.6,2.4,0.32,9.8,5.0,14.8,1.74,135.1,92.7,0.316,1.3,7.3,13.7,0.529,4.9,8.6,0.569,2.4,5.1,46.2,0.317,0.4139784946236559,8.4,9.4,0.901,4.9,6.2,2.1,0.8,3.6,3.0,25.3,10.3,19.6,7.0,12.2,3.4,7.3,12.0,13.4,7.0,8.8,3.0,1.1,5.1,4.3,36.1,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0,U18 Americas Championship,5,20:36,13.6,5.2,10.2,.510,1.0,2.6,.385,2.2,2.6,.846,5.0,4.2,1.6,0.6,2.0,2.0,Gold,,,,0.5884244372990354,0.3636363636363636,,,,,10.385,,4.334425635341771,,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Irving_Kyrie_bkn22.jpg
24223,2012-13,Trey Burke,PG,,Floor General,73.0,187.0,Michigan,Big Ten,31.0,8.0,10.05,2.0,"Nov 12, 1992",20.63,93.0,39.0,39.0,1378.0,28.7,0.569,0.53,35.4,0.296,776.0,1.9,9.6,5.7,37.3,2.8,1.5,1.953488372093024,1.953488372093023,11.9,0.08,28.3,48.87,6.7,1.8,8.6,0.249,9.4,3.7,13.1,3.02,123.4,100.0,0.475,6.58,7.5,16.3,0.463,5.3,10.5,0.506,2.2,5.7,38.4,0.26,0.3683902439024391,3.9,4.8,0.801,3.6,7.5,1.8,0.6,2.5,2.1,21.1,11.7,25.3,8.3,16.4,3.4,9.0,6.0,7.5,5.6,11.8,2.8,0.9,3.9,3.3,32.9,9.0,8.39,1.3012218800000002,0.0065312046444121,3.923827600000001,19.1,64.5,18.8,45.5,44.7,7.9,35.4,48.7,24.4251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3623481781376518,0.8259109311740891,0.7449392712550608,0.9678456591639872,0.2727272727272727,0.6720647773279352,,,,10.517,61.734,3.9105372406040977,,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Burke_Trey_hou22.jpg
2181,2010-11,Kemba Walker,PG,,Scorer,73.0,184.0,UConn,Big East,32.0,9.0,10.44,3.0,"May 8, 1990",21.15,12.0,41.0,41.0,1543.0,29.9,0.543,0.478,30.7,0.426,930.0,3.9,11.5,7.9,28.0,3.1,0.5,0.861111111111111,0.8611111111111112,9.5,0.075,32.4,49.503,7.3,2.4,9.7,0.251,9.2,3.9,13.1,1.98,121.2,98.9,0.475,1.97,8.2,19.2,0.428,6.2,13.3,0.471,1.9,5.9,33.0,0.216,0.3180847723704866,6.7,8.2,0.819,5.8,4.8,2.0,0.2,2.4,1.5,25.0,12.6,29.4,9.6,20.4,3.0,9.0,10.3,12.5,8.9,7.3,3.1,0.3,3.7,2.2,38.4,3.0,,,0.0019442644199611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,U18 Americas Championship,5,28:00,13.4,5.2,10.8,.481,1.0,3.2,.312,2.0,3.0,.667,4.6,5.0,1.2,0.6,3.2,1.4,Silver,,,,0.5418006430868167,0.4727272727272727,,,,,7.591,,2.631634734903161,,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Walker_Kemba_nyk21.jpg
61344,2016-17,Derrick White,PG,SG,Shooter,76.0,189.8,Colorado,Pac-12,19.0,15.0,6.0,4.0,"Jul 2, 1994",23.0,400.0,34.0,32.0,1116.0,27.3,0.627,0.578,35.6,0.45,603.0,3.5,10.5,7.0,28.6,2.2,4.9,3.03661971830986,3.036619718309859,14.2,0.104,25.3,40.494,4.5,1.4,5.9,0.211,9.0,3.4,12.4,1.83,124.9,104.0,0.398,1.6,7.3,14.5,0.507,5.3,9.3,0.569,2.0,5.2,39.6,0.268,0.3749361702127659,5.3,6.5,0.813,5.0,5.3,1.5,1.8,2.9,2.6,22.0,10.7,21.0,7.7,13.5,3.0,7.5,7.7,9.5,7.2,7.7,2.2,2.5,4.2,3.7,32.0,7.0,4.96,1.4419563199999998,0.0062724014336917,6.105057,34.9,68.1,16.7,29.5,43.7,28.8,35.6,61.4,36.1827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8421052631578947,0.8299595141700404,0.8117408906882592,0.5305466237942122,0.3909090909090909,0.8765182186234818,,,,7.467,68.254,2.427655886226708,,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/White_Derrick_bos22.jpg
7010,2013-14,Xavier Thames,PG,,Scorer,75.0,187.0,San Diego State,MWC,31.0,5.0,4.86,4.0,"Jan 19, 1991",23.45,121.0,36.0,36.0,1126.0,26.5,0.557,0.478,35.7,0.514,607.0,2.1,8.5,5.3,23.7,3.3,0.5,0.8684210526315789,0.868421052631579,8.2,0.064,28.6,43.536,4.7,2.8,7.5,0.267,7.2,5.2,12.4,2.27,124.8,91.6,0.348,2.45,6.7,16.2,0.411,4.5,10.4,0.432,2.2,5.8,37.4,0.254,0.3653023255813953,7.0,8.3,0.834,3.7,4.1,2.1,0.2,1.8,2.5,22.5,10.4,25.4,7.1,16.3,3.4,9.1,10.9,13.1,5.8,6.4,3.3,0.3,2.8,3.9,35.2,0.0,0.0,0.0,0.0,3.8529006,17.7,51.9,14.3,46.4,40.1,5.9,35.9,54.1,24.690600000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0526315789473684,0.6761133603238867,0.2307692307692307,0.5755627009646302,0.2363636363636363,0.3866396761133603,,,,6.675,51.677,1.6757086523129892,,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Thames_Xavier_ncaa_12.jpg
22550,2014-15,TJ McConnell,PG,,Floor General,74.0,187.8,Arizona,Pac-12,34.0,4.0,7.41,4.0,"Mar 25, 1992",23.27,348.0,38.0,38.0,1158.0,22.9,0.57,0.538,24.9,0.224,476.0,2.8,12.5,7.8,39.0,4.3,0.3,0.5608695652173913,0.5608695652173913,18.4,0.112,18.9,35.702,3.5,3.0,6.5,0.224,5.8,6.3,12.1,3.05,119.8,88.2,0.39,6.84,5.4,10.8,0.498,4.5,8.1,0.557,0.9,2.7,32.1,0.195,0.2804526315789474,2.0,2.4,0.829,5.0,8.2,2.9,0.1,2.7,2.3,13.6,8.1,16.2,6.8,12.2,1.3,4.0,3.0,3.6,7.6,12.4,4.3,0.2,4.0,3.5,20.5,0.0,0.0,0.0,0.0,3.7588536,28.4,67.4,18.3,46.6,48.6,11.3,24.9,84.0,31.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7489878542510121,0.7489878542510121,0.7510121457489879,0.9742765273311896,0.4636363636363636,0.0546558704453441,,,,6.459,64.26,1.594417287065426,,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Mcconnell_TJ_ind22.jpg
80283,2017-18,Jevon Carter,PG,,Floor General,73.0,196.2,West Virginia,Big 12,26.0,11.0,9.38,4.0,"Sep 14, 1995",22.79,299.0,37.0,37.0,1313.0,24.9,0.549,0.498,38.5,0.305,686.0,2.4,13.1,7.5,36.2,4.9,1.2,1.9278688524590168,1.927868852459016,14.4,0.097,25.0,44.364,4.3,2.8,7.0,0.214,6.7,5.3,12.0,2.51,119.3,94.9,0.445,5.1,6.5,15.5,0.422,4.2,9.5,0.441,2.3,6.0,39.3,0.272,0.3889588688946015,4.1,4.7,0.858,5.2,7.5,3.4,0.4,3.0,3.4,19.5,9.5,22.5,6.1,13.8,3.4,8.7,5.9,6.8,7.6,10.9,4.9,0.6,4.3,4.9,28.2,2.0,1.53,0.30984948,0.0015232292460015,4.556609999999999,25.7,50.4,21.2,35.8,39.6,15.3,38.5,63.6,35.4118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1052631578947368,0.7267206477732794,0.8259109311740891,0.9228295819935692,0.4363636363636363,0.5364372469635628,,,,8.947,49.54,2.2267042533319628,,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Carter_Jevon_mil22.jpg
148690,2022-23,Marcus Sasser,PG,SG,Scorer,74.0,195.6,Houston,AAC,33.0,3.0,4.79,4.0,"Sep 21, 2000",22.77,400.0,36.0,36.0,1108.0,24.9,0.597,0.548,57.6,0.348,552.0,1.4,8.9,5.2,19.6,3.2,0.7,1.1487179487179486,1.1487179487179484,10.1,0.079,26.1,40.634,4.6,2.6,7.2,0.261,7.7,4.3,12.0,1.95,126.6,91.9,0.304,1.52,6.9,15.7,0.438,3.4,6.6,0.511,3.5,9.0,38.4,0.303,0.4608,4.6,5.5,0.848,3.7,4.0,2.1,0.2,2.1,2.0,21.8,10.6,24.2,5.2,10.2,5.3,13.9,7.1,8.4,5.7,6.2,3.2,0.3,3.2,3.1,33.6,6.0,7.04,1.103872,0.0054151624548736,3.79456,19.6,64.7,20.0,22.8,39.4,17.9,57.6,68.8,47.63,7.1954,1.8341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3765182186234818,0.8340080971659919,0.5161943319838057,0.4340836012861736,0.2272727272727272,0.4817813765182186,0.4611111111111111,0.8888888888888888,52.7,6.836,61.367,1.756501552462763,0.1623566223976828,
59501,2016-17,Lonzo Ball,PG,,Primary,78.0,190.0,UCLA,Pac-12,31.0,5.0,6.39,1.0,"Oct 27, 1997",19.67,3.0,36.0,36.0,1263.0,24.7,0.673,0.668,56.6,0.286,608.0,3.2,14.3,9.3,31.4,2.8,2.1,2.4000000000000004,2.4,18.6,0.108,18.1,35.109,4.8,2.0,6.8,0.214,8.1,3.9,12.0,3.08,131.3,100.7,0.383,7.0,6.0,10.9,0.551,3.5,4.7,0.732,2.5,6.1,41.2,0.322,0.4768752556237219,2.1,3.1,0.673,6.8,8.7,2.1,0.9,2.8,2.1,16.6,8.1,14.6,4.7,6.4,3.4,8.3,2.8,4.2,9.2,11.7,2.8,1.2,3.8,2.8,22.4,37.0,29.95,5.21474425,0.0292953285827395,2.542079,35.9,78.9,51.5,7.6,46.2,8.3,56.6,73.8,60.8901,,,,,,,,,,,,,,,,,,,,,,,,,,,2015.0,adidas Nations,10,20:00,7.8,2.9,7.1,.408,1.3,4.3,.302,0.7,1.4,.500,6.8,4.3,1.6,0.9,2.0,2.0,Gold,0.9959514170040484,0.9230769230769232,0.4392712550607287,0.9807073954983924,0.6000000000000001,1.0,,,,8.512,61.213,6.008012938037351,,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Ball_Lonzo_chi21.jpg
