RealGM ID,Season,Name,Position 1,Position 2,Play Style,Height,Weight,School,Conference,Wins,Losses,SOS,Class,Birthday,Draft Day Age,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Stock%,TOV%,Adjusted TOV%,USG%,Offensive Load,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,AST/TOV,OFF RTG,DEF RTG,Hands-On Buckets,Pure Point Rating,Harmonic STK%,FG/40,FGA/40,FG%,2FGM/40,2FGA/40,2FG%,3FGM/40,3FGA/40,3FG%,3 Point Proficiency,3 Point Confidence,FT/40,FTA/40,FT%,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,FGM/100Poss,FGA/100Poss,2FGM/100Poss,2FGA/100Poss,3FGM/100Poss,3FGA/100Poss,FT/100Poss,FTA/100Poss,TRB/100Poss,AST/100Poss,STL/100Poss,BLK/100Poss,TOV/100Poss,PF/100Poss,PTS/100Poss,# Dunks,Dunk vs Rim Shot Percentage,% Dunks Unassisted,Dunks per Minute Played,Unassisted Shots @ Rim /100Poss,% Shots @ Rim,FG% @ Rim,%Astd @ Rim,% Shots @ Mid,FG% @ Mid,%Astd @ Mid,% Shots @ 3,%Astd @ 3,% Assisted,AAU Season,AAU Team,AAU League,AAU GP,AAU GS,AAU MIN,AAU PTS,AAU FGM,AAU FGA,AAU FG%,AAU 3PM,AAU 3PA,AAU 3P%,AAU FTM,AAU FTA,AAU FT%,AAU ORB,AAU DRB,AAU TRB,AAU AST,AAU STL,AAU BLK,AAU TOV,AAU PF,Event Year,Event Name,Event GP,Event MIN,Event PTS,Event FGM,Event FGA,Event FG%,Event 3PM,Event 3PA,Event 3P%,Event FTM,Event FTA,Event FT%,Event TRB,Event AST,Event STL,Event BLK,Event TOV,Event PF,Event Placement,Finishing Score,Shooting Score,Shot Creation Score,Passing Score,Rebounding Score,Athleticism Score,Defense Score,College Productivity Score,Percentile Score,Box Score Creation,Rim Shot Creation,Helio Score,Draft Score,Image Link
56842,2014-15,Delon Wright,PG,,Athletic,77,181.4,Utah,Pac-12,26.0,9.0,7.42,4.0,"Apr 26, 1992",23.18,159.0,35,35,1165.0,29.2,61.9,54.900000000000006,0.225,0.565,558.0,4.0,13.7,9.3,33.0,4.0,3.2,3.6,14.2,1.4000000000000001,22.8,2.73783,5.3,3.1,8.4,0.289,8.7,6.9,15.5,2.62,129.8,87.7,0.404,4.54,3.555555555555556,5.7,11.1,50.9,4.8,8.6,55.400000000000006,0.9,2.5,35.6,0.21165,0.44717376133984643,5.3,6.3,83.6,5.9,6.1,2.5,1.2,2.3,1.7,17.5,9.0,17.8,7.6,13.8,1.4,4.0,8.4,10.0,9.5,9.8,4.0,1.9,3.7,2.7,27.9,17.0,10.84,4.5266214,0.0,7.43,48.5,64.3,13.9,29.0,40.4,2.6,22.5,53.8,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.425,51.969,82.283,80.606,92.5,99.206,100.0,88.028,86.6,0.33641002,67.242,0.1062397454440787,63.095,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Wright_Delon_was22.jpg
7118,2010-11,Kyrie Irving,PG,,Primary,75,191.0,Duke,ACC,10.0,1.0,8.32,1.0,"Mar 23, 1992",19.27,2.0,11,8,303.0,32.5,69.69999999999999,61.5,0.375,0.683,189.0,2.3,10.6,6.7,29.8,3.0,1.8,2.2,16.4,1.0999999999999999,26.4,4.66863,1.8,0.6,2.4,0.32,9.8,5.0,14.8,1.74,135.1,92.7,0.316,1.3,2.2500000000000004,7.3,13.7,52.900000000000006,4.9,8.6,56.89999999999999,2.4,5.1,46.2,0.31731000000000004,0.7439613526570049,8.4,9.4,90.1,4.9,6.2,2.1,0.8,3.6,3.0,25.3,10.3,19.6,7.0,12.2,3.4,7.3,12.0,13.4,7.0,8.8,3.0,1.1,5.1,4.3,36.1,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0,U18 Americas Championship,5,20:36,13.6,5.2,10.2,.510,1.0,2.6,.385,2.2,2.6,.846,5.0,4.2,1.6,0.6,2.0,2.0,Gold,,,,48.485,63.125,,96.479,96.479,,0.60093296,,0.20602545042609785,,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Irving_Kyrie_bkn22.jpg
2181,2010-11,Kemba Walker,PG,,Scorer,73,184.0,UConn,Big East,32.0,9.0,10.44,3.0,"May 8, 1990",21.15,12.0,41,41,1543.0,29.9,54.3,47.8,0.307,0.426,930.0,3.9,11.5,7.9,28.0,3.1,0.5,0.9,9.5,1.3,32.4,2.8735700000000004,7.3,2.4,9.7,0.251,9.2,3.9,13.1,1.98,121.2,98.9,0.475,1.97,0.8611111111111112,8.2,19.2,42.8,6.2,13.3,47.1,1.9,5.9,33.0,0.21561,0.6083405890653616,6.7,8.2,81.89999999999999,5.8,4.8,2.0,0.2,2.4,1.5,25.0,12.6,29.4,9.6,20.4,3.0,9.0,10.3,12.5,8.9,7.3,3.1,0.3,3.7,2.2,38.4,3.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,U18 Americas Championship,5,28:00,13.4,5.2,10.8,.481,1.0,3.2,.312,2.0,3.0,.667,4.6,5.0,1.2,0.6,3.2,1.4,Silver,,,,46.667,81.875,,61.972,100.0,,0.340255,,0.08612880114099442,,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Walker_Kemba_nyk21.jpg
24223,2012-13,Trey Burke,PG,,Floor General,73,187.0,Michigan,Big Ten,31.0,8.0,10.05,2.0,"Nov 12, 1992",20.63,93.0,39,39,1378.0,28.7,56.89999999999999,53.0,0.354,0.296,776.0,1.9,9.6,5.7,37.3,2.8,1.5,2.0,11.9,0.8,28.3,4.71495,6.7,1.8,8.6,0.249,9.4,3.7,13.1,3.02,123.4,100.0,0.475,6.58,1.953488372093023,7.5,16.3,46.3,5.3,10.5,50.6,2.2,5.7,38.4,0.25992,0.701532745006967,3.9,4.8,80.10000000000001,3.6,7.5,1.8,0.6,2.5,2.1,21.1,11.7,25.3,8.3,16.4,3.4,9.0,6.0,7.5,5.6,11.8,2.8,0.9,3.9,3.3,32.9,9.0,8.39,1.3012218800000002,0.0,3.92,19.1,64.5,18.8,45.5,44.7,7.9,35.4,48.7,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.583,80.709,94.488,93.939,30.0,69.841,85.211,97.887,73.8,0.601601,61.734,0.16333166113927625,69.582,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Burke_Trey_hou22.jpg
61344,2016-17,Derrick White,PG,,Shooter,76,189.8,Colorado,Pac-12,19.0,15.0,6.0,4.0,"Jul 2, 1994",23.0,400.0,34,32,1116.0,27.3,62.7,57.8,0.356,0.45,603.0,3.5,10.5,7.0,28.6,2.2,4.9,3.0,14.2,1.4000000000000001,25.3,3.0483800000000003,4.5,1.4,5.9,0.211,9.0,3.4,12.4,1.83,124.9,104.0,0.398,1.6,3.036619718309859,7.3,14.5,50.7,5.3,9.3,56.89999999999999,2.0,5.2,39.6,0.26827,0.7056562218440284,5.3,6.5,81.3,5.0,5.3,1.5,1.8,2.9,2.6,22.0,10.7,21.0,7.7,13.5,3.0,7.5,7.7,9.5,7.2,7.7,2.2,2.5,4.2,3.7,32.0,7.0,4.96,1.4419563199999998,0.0,6.11,34.9,68.1,16.7,29.5,43.7,28.8,35.6,61.4,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.764,84.252,37.795,42.424,68.125,92.063,71.831,76.056,70.3,0.377179,68.254,0.10446060765461129,16.421,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/White_Derrick_bos22.jpg
7010,2013-14,Xavier Thames,PG,,Scorer,75,187.0,San Diego State,MWC,31.0,5.0,4.86,4.0,"Jan 19, 1991",23.45,121.0,36,36,1126.0,26.5,55.7,47.8,0.357,0.514,607.0,2.1,8.5,5.3,23.7,3.3,0.5,0.9,8.2,1.0999999999999999,28.6,2.5639299999999996,4.7,2.8,7.5,0.267,7.2,5.2,12.4,2.27,124.8,91.6,0.348,2.45,0.868421052631579,6.7,16.2,41.1,4.5,10.4,43.2,2.2,5.8,37.4,0.25372,0.7072489869428185,7.0,8.3,83.4,3.7,4.1,2.1,0.2,1.8,2.5,22.5,10.4,25.4,7.1,16.3,3.4,9.1,10.9,13.1,5.8,6.4,3.3,0.3,2.8,3.9,35.2,0.0,0.0,0.0,0.0,3.85,17.7,51.9,14.3,46.4,40.1,5.9,35.9,54.1,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.118,70.079,53.15,49.697,21.25,64.286,81.69,83.099,53.5,0.30437702,51.677,0.06276664194432621,52.259,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Thames_Xavier_ncaa_12.jpg
22550,2014-15,TJ McConnell,PG,,Floor General,74,187.8,Arizona,Pac-12,34.0,4.0,7.41,4.0,"Mar 25, 1992",23.27,348.0,38,38,1158.0,22.9,56.99999999999999,53.8,0.249,0.224,476.0,2.8,12.5,7.8,39.0,4.3,0.3,0.6,18.4,1.6,18.9,2.47644,3.5,3.0,6.5,0.224,5.8,6.3,12.1,3.05,119.8,88.2,0.39,6.84,0.5608695652173913,5.4,10.8,49.8,4.5,8.1,55.7,0.9,2.7,32.1,0.19469,0.49416674394880833,2.0,2.4,82.9,5.0,8.2,2.9,0.1,2.7,2.3,13.6,8.1,16.2,6.8,12.2,1.3,4.0,3.0,3.6,7.6,12.4,4.3,0.2,4.0,3.5,20.5,0.0,0.0,0.0,0.0,3.76,28.4,67.4,18.3,46.6,48.6,11.3,24.9,84.0,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.441,62.205,25.984,95.152,80.312,6.349,74.648,84.507,62.7,0.302882,64.26,0.058491216273854216,47.076,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Mcconnell_TJ_ind22.jpg
80283,2017-18,Jevon Carter,PG,,Floor General,73,196.2,West Virginia,Big 12,26.0,11.0,9.38,4.0,"Sep 14, 1995",22.79,299.0,37,37,1313.0,24.9,54.900000000000006,49.8,0.385,0.305,686.0,2.4,13.1,7.5,36.2,4.9,1.2,1.9,14.4,1.0999999999999999,25.0,3.9711000000000003,4.3,2.8,7.0,0.214,6.7,5.3,12.0,2.51,119.3,94.9,0.445,5.1,1.9278688524590162,6.5,15.5,42.2,4.2,9.5,44.1,2.3,6.0,39.3,0.27209,0.762529923144765,4.1,4.7,85.8,5.2,7.5,3.4,0.4,3.0,3.4,19.5,9.5,22.5,6.1,13.8,3.4,8.7,5.9,6.8,7.6,10.9,4.9,0.6,4.3,4.9,28.2,2.0,1.53,0.30984948,0.0,4.56,25.7,50.4,21.2,35.8,39.6,15.3,38.5,63.6,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.449,80.709,65.354,90.0,74.062,44.444,92.958,90.845,68.5,0.502298,49.54,0.09127752427375829,57.154,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Carter_Jevon_mil22.jpg
22395,2013-14,Shabazz Napier,PG,,Shooter,72,175.2,UConn,Big East,32.0,8.0,8.63,4.0,"Jul 14, 1991",22.96,82.0,40,40,1404.0,25.5,59.1,51.7,0.433,0.48,745.0,3.4,15.0,9.7,30.8,3.2,1.0,1.5,15.8,1.4000000000000001,27.5,3.65068,4.9,3.1,7.9,0.226,7.5,4.5,12.0,1.71,118.9,94.9,0.42,1.16,1.5238095238095237,6.1,14.1,42.9,3.6,8.0,44.8,2.5,6.1,40.5,0.29015,0.8568392250751228,5.9,6.8,87.0,6.7,5.6,2.1,0.4,3.2,2.4,20.5,9.3,21.6,5.5,12.2,3.8,9.3,9.0,10.3,10.2,8.5,3.2,0.6,5.0,3.7,31.3,0.0,0.0,0.0,0.0,4.92,26.6,53.0,14.3,30.0,37.6,10.7,43.3,41.4,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.11,78.74,86.614,38.182,95.625,76.19,90.845,90.141,71.8,0.45812702,53.926,0.05896746122578495,55.319,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Napier_Shabazz_21.jpg
59501,2016-17,Lonzo Ball,PG,,Primary,78,190.0,UCLA,Pac-12,31.0,5.0,6.39,1.0,"Oct 27, 1997",19.67,3.0,36,36,1263.0,24.7,67.30000000000001,66.8,0.566,0.286,608.0,3.2,14.3,9.3,31.4,2.8,2.1,2.4,18.6,1.0,18.1,3.89818,4.8,2.0,6.8,0.214,8.1,3.9,12.0,3.08,131.3,100.7,0.383,7.0,2.4,6.0,10.9,55.1,3.5,4.7,73.2,2.5,6.1,41.2,0.32249,1.116659483790643,2.1,3.1,67.30000000000001,6.8,8.7,2.1,0.9,2.8,2.1,16.6,8.1,14.6,4.7,6.4,3.4,8.3,2.8,4.2,9.2,11.7,2.8,1.2,3.8,2.8,22.4,37.0,29.95,5.21474425,0.0,2.54,35.9,78.9,51.5,7.6,46.2,8.3,56.6,73.8,60.9,,,,,,,,,,,,,,,,,,,,,,,,,2015.0,adidas Nations,10,20:00,7.8,2.9,7.1,.408,1.3,4.3,.302,0.7,1.4,.500,6.8,4.3,1.6,0.9,2.0,2.0,Gold,94.488,92.913,55.118,97.576,92.5,61.508,86.62,78.169,82.39999999999999,0.504609,61.213,0.31916303633008175,82.919,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Ball_Lonzo_chi21.jpg
