RealGM ID,Season,Name,Position 1,Position 2,Play Style,School,Conference,Wins,Losses,SOS,Class,Birthday,Draft Day Age,Height,Weight,Height w/o Shoes,Height w/ Shoes,Wingspan,Standing Reach,Body Fat %,Hand Length,Hand Width,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Stock%,TOV%,Adjusted TOV%,USG%,Offensive Load,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,ATS/TOV,OFF RTG,DEF RTG,Hands-On Buckets,Pure Point Rating,FG/40,FGA/40,FG%,2FGM/40,2FGA/40,2FG%,3FGM/40,3FGA/40,3FG%,3 Point Proficiency,FT/40,FTA/40,FT%,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,FGM/100Poss,FGA/100Poss,2FGM/100Poss,2FGA/100Poss,3FGM/100Poss,3FGA/100Poss,FT/100Poss,FTA/100Poss,TRB/100Poss,AST/100Poss,STL/100Poss,BLK/100Poss,TOV/100Poss,PF/100Poss,PTS/100Poss,FGA/100Poss,# Dunks,Dunk vs Rim Shot Percentage,% Dunks Unassisted,% Shots @ Rim,FG% @ Rim,%Astd @ Rim,% Shots @ Mid,FG% @ Mid,%Astd @ Mid,% Shots @ 3,%Astd @ 3,% Assisted,AAU Season,AAU Team,AAU League,AAU GP,AAU GS,AAU MIN,AAU PTS,AAU FGM,AAU FGA,AAU FG%,AAU 3PM,AAU 3PA,AAU 3P%,AAU FTM,AAU FTA,AAU FT%,AAU ORB,AAU DRB,AAU TRB,AAU AST,AAU STL,AAU BLK,AAU TOV,AAU PF,Event Year,Event Name,Event GP,Event MIN,Event PTS,Event FGM,Event FGA,Event FG%,Event 3PM,Event 3PA,Event 3P%,Event FTM,Event FTA,Event FT%,Event TRB,Event AST,Event STL,Event BLK,Event TOV,Event PF,Event Placement,Box Score Creation,Helio Score
104845,2018-19,Zion Williamson,PF,,Primary,Duke,ACC,29.0,4.0,11.98,1.0,"Jul 6, 2000",18.98,78,280.0,,,,,,,,5.0,33,33,990.0,40.8,0.702,0.708,0.163,0.467,663.0,12.7,18.0,15.5,14.9,3.9,5.8,22.619999999999997,12.8,0.108,28.6,39.931,5.5,2.8,8.3,0.335,13.4,6.7,20.1,0.87,133.1,87.4,0.357,-3.13,12.0,17.6,0.68,11.0,14.7,0.747,1.0,2.9,0.338,0.19,5.3,8.2,0.64,11.8,2.7,2.8,2.4,3.2,2.7,30.1,16.3,24.0,15.0,20.1,1.3,3.9,7.2,11.2,16.2,3.8,3.9,3.3,4.3,3.8,41.2,24.0,72.0,22.96,9.191347200000001,72.0,79.2,44.4,11.7,47.1,33.3,16.3,79.2,48.773700000000005,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,adidas Nations,9,24:06,21.7,8.0,11.6,.692,0.1,0.3,.333,5.6,7.6,.735,6.1,1.2,1.4,0.6,0.7,1.6,Gold,5.388,4.789359115616377
107990,2019-20,James Wiseman,C,,Rebounder,Memphis,AAC,2.0,1.0,5.07,1.0,"Mar 31, 2001",19.25,85,235.0,,,,,,,,1.0,3,3,69.0,52.7,0.76,0.769,0.038,1.038,48.0,21.8,26.5,24.4,4.4,0.8,13.6,10.88,7.2,0.067,29.1,35.676,0.5,0.2,0.7,0.434,13.1,4.9,18.0,0.33,149.8,80.8,0.223,-3.15,11.6,15.1,0.769,11.6,14.5,0.8,0.0,0.6,0.0,0.0,11.0,15.7,0.704,18.6,0.6,0.6,5.2,1.7,2.9,34.2,15.9,20.6,15.9,19.8,0.0,0.8,15.1,21.4,25.4,0.8,0.8,7.1,2.4,4.0,46.8,20.6,9.0,47.27,10.158984780000003,73.1,89.5,70.6,23.1,50.0,100.0,3.8,0.0,74.70859999999999,2018-19,Bluff City Legends,Nike 17U,10.0,8.0,20.2,16.4,6.6,12.1,0.545,0.8,1.6,0.5,2.4,4.1,0.585,0.0,6.4,6.4,0.7,0.3,1.3,2.3,2.5,2018.0,U17 World Cup,5,17:49,11.4,5.4,8.8,.614,0.0,0.0,.000,0.6,1.0,.600,5.0,1.0,0.6,1.0,2.2,1.4,Gold,3.721,0.8916708961255749
13305,2011-12,Anthony Davis,PF,C,Energy,Kentucky,SEC,38.0,2.0,7.93,1.0,"Mar 11, 1993",19.3,82,221.8,81.25,82.5,89.5,108.0,7.9,9.0,8.5,1.0,40,40,1281.0,35.1,0.654,0.628,0.059,0.602,550.0,11.6,25.6,19.0,7.5,2.5,13.7,34.25,8.6,0.075,18.8,25.312,5.9,4.1,9.9,0.31,9.1,8.1,17.2,1.22,139.0,80.7,0.237,-0.61,6.6,10.5,0.623,6.5,9.9,0.653,0.1,0.6,0.15,0.036,4.5,6.3,0.709,13.0,1.6,1.7,5.8,1.3,2.4,17.7,9.9,15.9,9.7,14.9,0.1,0.9,6.8,9.6,19.5,2.4,2.5,8.8,1.9,3.7,26.7,15.9,96.0,55.33,11.077508639999998,51.6,87.4,61.2,42.4,38.5,41.8,5.9,100.0,55.2024,,,,,,,,,,,,,,,,,,,,,,,,,2010.0,NIKE Global Challenge,1,27:00,23.0,11.0,14.0,.786,1.0,1.0,1.000,0.0,1.0,.000,9.0,1.0,1.0,2.0,1.0,2.0,-,2.081,2.2265181191675607
41449,2016-17,Sindarius Thornwell,SG,SF,Scorer,South Carolina,SEC,23.0,8.0,10.16,4.0,"Nov 15, 1994",22.62,77,211.6,75.5,76.75,82.0,103.0,7.8,8.75,8.75,31.0,31,31,1051.0,30.3,0.59,0.51,0.337,0.59,634.0,8.0,16.3,11.9,19.1,3.6,3.4,12.24,11.9,0.098,29.5,41.908,4.4,2.8,7.2,0.273,11.0,6.2,17.1,1.13,122.2,89.0,0.363,-1.78,7.4,16.7,0.444,5.2,11.1,0.471,2.2,5.6,0.392,0.262,8.2,9.9,0.83,8.4,3.3,2.5,1.1,2.9,2.7,25.2,10.6,23.9,7.5,15.8,3.2,8.1,11.7,14.1,12.0,4.7,3.6,1.6,4.1,3.9,36.1,23.9,9.0,6.53,1.50090744,31.4,59.4,26.8,34.9,35.9,32.7,33.7,89.7,50.056400000000004,,,,,,,,,,,,,,,,,,,,,,,,,2012.0,NIKE Global Challenge,4,22:00,16.0,6.2,12.8,.490,0.5,1.8,.286,3.0,3.8,.800,6.5,1.0,1.3,0.3,1.8,2.2,5th,5.845,2.530698211066576
84518,2018-19,Brandon Clarke,PF,C,Energy,Gonzaga,WCC,33.0,4.0,5.01,3.0,"Sep 19, 1996",22.78,80,207.2,79.25,80.25,80.25,102.0,4.9,8.25,9.5,400.0,37,36,1040.0,37.2,0.699,0.693,0.04,0.42,603.0,13.9,19.6,17.1,12.3,2.3,11.3,25.99,11.3,0.096,23.9,32.169,5.5,3.2,8.8,0.337,9.8,6.5,16.3,1.23,137.9,84.0,0.277,-1.03,9.9,14.4,0.687,9.7,13.8,0.705,0.2,0.6,0.267,0.056,4.2,6.0,0.694,12.2,2.7,1.7,4.5,2.2,3.0,24.1,13.8,20.1,13.6,19.3,0.2,0.8,5.8,8.4,17.0,3.8,2.3,6.3,3.1,4.2,33.6,20.1,60.0,25.4,7.244384800000001,63.1,79.7,54.8,32.9,52.8,44.6,4.0,100.0,53.252199999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.388,1.6232354924757155
28751,2014-15,Frank Kaminsky,C,PF,Primary,Wisconsin,Big Ten,36.0,3.0,10.29,4.0,"Apr 4, 1993",22.24,85,231.2,83.75,84.75,83.0,109.5,9.4,8.5,9.5,242.0,39,39,1311.0,34.4,0.628,0.59,0.207,0.41,691.0,6.0,25.7,16.1,18.4,1.7,4.5,7.6499999999999995,9.8,0.078,28.6,41.207,6.9,2.9,9.8,0.299,11.2,5.0,16.2,1.63,129.6,92.6,0.374,0.47,8.1,14.9,0.547,6.9,11.8,0.581,1.3,3.1,0.416,0.249,4.8,6.1,0.78,9.8,3.1,1.0,1.7,1.9,2.0,22.3,13.7,25.0,11.5,19.9,2.2,5.2,8.0,10.3,16.4,5.3,1.7,2.9,3.2,3.3,37.6,25.0,31.0,15.48,3.2622552000000002,41.0,70.0,48.6,38.3,45.5,21.2,20.7,95.2,47.751999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.294,5.561779400789456
163374,2021-22,Keegan Murray,PF,,Scorer,Iowa,Big Ten,26.0,9.0,6.87,2.0,"Aug 19, 2000",21.86,80,225.0,,,,,,,,334.0,35,35,1116.0,37.8,0.638,0.614,0.3,0.343,724.0,9.8,20.2,14.9,10.1,2.3,6.4,14.719999999999999,5.7,0.05,29.7,39.886,6.6,2.0,8.7,0.311,13.0,2.7,15.7,1.33,134.6,96.8,0.343,-0.38,11.0,19.9,0.554,8.6,13.9,0.621,2.4,5.9,0.398,0.259,5.1,6.8,0.747,10.9,1.9,1.6,2.4,1.4,2.3,29.5,15.6,28.2,12.3,19.8,3.4,8.5,7.2,9.7,15.4,2.7,2.3,3.5,2.0,3.3,41.9,28.2,63.0,23.35,6.491113200000002,48.6,72.1,42.8,21.5,39.5,34.0,30.0,86.4,54.0308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.746,2.887170991128254
44077,2015-16,Denzel Valentine,SG,SF,Primary,Michigan State,Big Ten,26.0,5.0,6.94,4.0,"Nov 16, 1993",22.62,77,210.4,76.0,77.75,82.75,102.0,9.2,8.5,9.75,112.0,31,30,1022.0,29.7,0.608,0.579,0.527,0.214,622.0,3.0,21.2,12.8,45.8,1.9,0.7,1.3299999999999998,14.8,0.091,28.5,55.186,5.0,2.2,7.2,0.284,11.3,4.3,15.6,2.84,127.1,94.1,0.498,7.7,8.0,17.4,0.462,4.0,8.2,0.481,4.1,9.2,0.444,0.339,3.2,3.7,0.853,9.1,9.4,1.3,0.3,3.3,2.0,23.3,12.0,26.0,5.9,12.3,6.1,13.7,4.7,5.6,13.7,14.1,1.9,0.4,5.0,3.0,34.9,26.0,5.0,6.86,0.6131467999999999,16.4,60.3,45.5,30.9,41.6,33.3,52.7,86.5,63.3372,,,,,,,,,,,,,,,,,,,,,,,,,2015.0,Pan American Games,5,11:20,7.4,2.8,5.6,.500,1.0,2.6,.385,0.8,0.8,1.000,2.4,0.4,0.2,0.2,0.8,1.2,Bronze,15.59,6.158545689989122
56842,2014-15,Delon Wright,PG,,Athletic,Utah,Pac-12,26.0,9.0,7.42,4.0,"Apr 26, 1992",23.18,77,181.4,76.25,77.5,79.5,101.5,6.6,8.0,8.5,159.0,35,35,1165.0,29.2,0.619,0.549,0.225,0.565,558.0,4.0,13.7,9.3,33.0,4.0,3.2,12.8,14.2,0.097,22.8,38.256,5.3,3.1,8.4,0.289,8.7,6.9,15.5,2.62,129.8,87.7,0.404,4.54,5.7,11.1,0.509,4.8,8.6,0.554,0.9,2.5,0.356,0.212,5.3,6.3,0.836,5.9,6.1,2.5,1.2,2.3,1.7,17.5,9.0,17.8,7.6,13.8,1.4,4.0,8.4,10.0,9.5,9.8,4.0,1.9,3.7,2.7,27.9,17.8,17.0,10.84,4.5266214,48.5,64.3,13.9,29.0,40.4,2.6,22.5,53.8,19.600499999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.001,2.476565183202683
22337,2012-13,Victor Oladipo,SG,,Slasher,Indiana,Big Ten,29.0,7.0,8.39,3.0,"May 4, 1992",21.16,76,213.2,75.25,76.25,81.25,100.5,6.55,8.75,9.25,136.0,36,36,1021.0,28.9,0.671,0.648,0.224,0.428,478.0,11.8,15.1,13.5,15.2,4.6,2.8,12.879999999999999,18.5,0.149,22.2,32.242,4.2,2.6,6.7,0.264,8.9,6.2,15.1,0.89,125.7,87.3,0.269,-3.16,7.1,11.9,0.599,6.0,9.2,0.644,1.2,2.7,0.441,0.262,3.8,5.1,0.746,8.9,2.9,3.1,1.1,3.3,3.5,19.2,10.6,17.7,8.9,13.8,1.8,4.0,5.7,7.6,13.3,4.3,4.6,1.6,4.8,5.2,28.7,17.7,35.0,19.14,7.3857814799999995,60.2,69.9,35.9,17.4,45.3,25.0,22.4,80.0,43.8818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.438,2.1237803412350895
