Name,Season,Height,Weight,Position,School,Class,RSCI
Blake Griffin,2008-09,82,248,PF,Oklahoma,2,16
James Harden,2008-09,77,222,SG,Arizona State,2,14
Jordan Hill,2008-09,82,232,PF,Arizona,3,353
Hasheem Thabeet,2008-09,86,267,C,UConn,3,64
Stephen Curry,2008-09,75,181,PG/SG,Davidson,3,256
DeMar DeRozan,2008-09,79,211,SG,USC,1,6
BJ Mullens,2008-09,84,258,C,Ohio State,1,2
Jonny Flynn,2008-09,72,196,PG,Syracuse,2,18
Earl Clark,2008-09,82,226,SF,Louisville,3,21
James Johnson,2008-09,80,257,SF,Wake Forest,2,91
Gerald Henderson,2008-09,77,215,SG/SF,Duke,3,15
Jeff Teague,2008-09,74,175,PG,Wake Forest,2,51
Tyreke Evans,2008-09,77,221,SG,Memphis,1,5
Wayne Ellington,2008-09,77,202,SG,UNC,3,9
Eric Maynor,2008-09,75,164,PG,VCU,4,379
Chase Budinger,2008-09,79,206,SG/SF,Arizona,3,6
Derrick Brown,2008-09,80,225,SF,Xavier,3,400
DeJuan Blair,2008-09,78,277,PF,Pitt,2,32
Tyler Hansbrough,2008-09,81,234,PF,UNC,4,9
Terrence Williams,2008-09,78,213,SG/SF,Louisville,4,76
DaJuan Summers,2008-09,80,243,SF,Georgetown,3,19
Ty Lawson,2008-09,72,197,PG,UNC,3,7
Taj Gibson,2008-09,82,214,PF,USC,3,49
Darren Collison,2008-09,73,166,PG,UCLA,4,80
Toney Douglas,2008-09,74,183,PG/SG,Florida State,4,77
Sam Young,2008-09,78,223,SF,Pitt,4,52
Jrue Holiday,2008-09,76,199,PG/SG,UCLA,1,3
Dionte Christmas,2008-09,77,211,SG,Temple,4,400
Jermaine Taylor,2008-09,77,207,SG,Central Florida,4,260
Patrick Mills,2008-09,72,175,PG,Saint Mary's,2,400
Marcus Thornton,2008-09,76,194,SG,LSU,4,121
Josh Heytvelt,2008-09,83,246,PF,Gonzaga,4,85
Austin Daye,2008-09,83,192,SF,Gonzaga,2,34
Jeff Pendergraph,2008-09,82,240,PF,Arizona State,4,161
Curtis Jerrells,2008-09,73,195,PG,Baylor,4,103
Jerel McNeal,2008-09,75,190,SG,Marquette,4,71
Jeff Adrien,2008-09,78,235,PF,UConn,4,50
Leo Lyons,2008-09,81,235,SF/PF,Missouri,4,66
Dante Cunningham,2008-09,80,227,SF/PF,Villanova,4,202
Robert Dozier,2008-09,82,215,SF/PF,Memphis,4,79
Danny Green,2008-09,78,208,SF,UNC,4,27
Tyrese Rice,2008-09,72,190,PG,Boston College,4,236
DeMarre Carroll,2008-09,80,207,SF/PF,Missouri,4,137
Wesley Matthews,2008-09,77,215,SG,Marquette,4,85
Jodie Meeks,2008-09,76,211,SG,Kentucky,3,39
Terrel Harris,2008-09,76,190,SG,Oklahoma State,4,75
Chris Johnson,2008-09,83,205,PF/C,LSU,4,275
AJ Price,2008-09,74,193,PG,UConn,4,27
Courtney Fells,2008-09,78,210,SG,NC State,4,26
Alonzo Gee,2008-09,78,219,SG,Alabama,4,31
Garret Siler,2008-09,83,305,C,Augusta State,4,400
Alex Ruoff,2008-09,78,220,SG,West Virginia,4,164
Paul Harris,2008-09,76,220,SG/SF,Syracuse,3,12
Chinemelu Elonu,2008-09,82,235,PF,Texas A&M,3,400
Jon Brockman,2008-09,79,255,PF,Washington,4,29
Jack McClinton,2008-09,73,185,SG,Miami,4,400
Stefon Jackson,2008-09,77,185,SG,UTEP,4,400
Alade Aminu,2008-09,82,220,SF/PF,Georgia Tech,4,89
Josh Akognon,2008-09,71,185,PG,Cal State Fullerton,4,399
Brandon Costner,2008-09,80,230,SF,NC State,3,23
Lester Hudson,2008-09,75,190,PG/SG,Tennessee-Martin,4,400
Robert Vaden,2008-09,77,205,SG,UAB,4,36
Micah Downs,2008-09,79,180,SG/SF,Gonzaga,4,24
Daniel Hackett,2008-09,78,210,PG/SG,USC,3,65
Luke Nevill,2008-09,85,265,C,Utah,4,386
AJ Abrams,2008-09,71,155,PG/SG,Texas,4,105
Josh Shipp,2008-09,77,220,SG,UCLA,4,37
Dominic James,2008-09,71,180,PG,Marquette,4,51
Jeremy Pargo,2008-09,74,219,PG,Gonzaga,4,108
Russell Hicks,2008-09,84,255,C,Florida International,4,400
Josh Carter,2008-09,79,195,SG,Texas A&M,4,244
Cedric Jackson,2008-09,75,180,PG,Cleveland State,4,180
Antonio Anderson,2008-09,78,214,SG,Memphis,4,46
Kevin Rogers,2008-09,80,225,SF/PF,Baylor,4,55
Charlie Coley,2008-09,79,220,SF,Charlotte,4,400
Lorrenzo Wade,2008-09,78,226,SG,San Diego State,4,62
Eric Devendorf,2008-09,76,175,PG/SG,Syracuse,3,33
Lewis Clinch,2008-09,75,190,SG,Georgia Tech,4,22
Dar Tucker,2008-09,75,200,SG,DePaul,2,46
Connor Atchley,2008-09,82,230,PF,Texas,4,209
John Wall,2009-10,76,196,PG,Kentucky,1,2
Evan Turner,2009-10,79,214,SG,Ohio State,3,47
Derrick Favors,2009-10,82,245,PF,Georgia Tech,1,1
Wesley Johnson,2009-10,79,206,SF,Syracuse,3,340
Greg Monroe,2009-10,83,247,PF/C,Georgetown,2,8
Patrick Patterson,2009-10,81,240,PF,Kentucky,3,10
DeMarcus Cousins,2009-10,83,292,PF/C,Kentucky,1,3
Luke Babbitt,2009-10,81,218,SF/PF,Nevada,2,18
Al-Farouq Aminu,2009-10,80,216,SF,Wake Forest,2,9
Paul George,2009-10,81,214,SF,Fresno State,2,193
Ed Davis,2009-10,82,227,PF,UNC,2,10
Xavier Henry,2009-10,78,210,SG,Kansas,1,6
Avery Bradley,2009-10,75,180,SG,Texas,1,4
Hassan Whiteside,2009-10,84,227,C,Marshall,1,96
Cole Aldrich,2009-10,82,236,C,Kansas,3,27
Gordon Hayward,2009-10,80,211,SF,Butler,2,400
Ekpe Udoh,2009-10,82,237,PF,Baylor,3,264
Devin Ebanks,2009-10,80,208,SF,West Virginia,2,45
James Anderson,2009-10,78,208,SG,Oklahoma State,3,21
Daniel Orton,2009-10,82,269,PF/C,Kentucky,1,18
Elliot Williams,2009-10,76,180,SG,Memphis,2,77
Armon Johnson,2009-10,75,190,PG/SG,Nevada,3,400
Craig Brackins,2009-10,82,229,PF,Iowa State,3,30
Gani Lawal,2009-10,81,233,PF,Georgia Tech,3,19
Dominique Jones,2009-10,76,216,SG,South Florida,3,400
Terrico White,2009-10,77,203,PG/SG,Ole Miss,2,123
Eric Bledsoe,2009-10,73,192,PG/SG,Kentucky,1,68
Larry Sanders,2009-10,82,222,PF/C,VCU,3,355
Damion James,2009-10,79,227,SF,Texas,4,17
Stanley Robinson,2009-10,80,213,SF,UConn,4,18
Willie Warren,2009-10,76,208,PG/SG,Oklahoma,2,11
Lance Stephenson,2009-10,78,227,SG,Cincinnati,1,9
Quincy Pondexter,2009-10,79,215,SF,Washington,4,31
Jordan Crawford,2009-10,76,198,SG,Xavier,2,239
Trevor Booker,2009-10,79,236,PF,Clemson,4,252
Dwayne Collins,2009-10,80,241,PF,Miami,4,113
Lazar Hayward,2009-10,78,226,SF,Marquette,4,75
Tiny Gallon,2009-10,81,296,PF,Oklahoma,1,10
Jerome Jordan,2009-10,85,244,C,Tulsa,4,311
Solomon Alabi,2009-10,85,237,C,Florida State,2,24
DaSean Butler,2009-10,79,225,SF,West Virginia,4,107
Greivis Vasquez,2009-10,78,211,PG/SG,Maryland,4,43
Manny Harris,2009-10,77,185,SG,Michigan,3,37
Mikhail Torrance,2009-10,77,209,PG/SG,Alabama,4,131
Mac Koshwal,2009-10,81,250,PF,DePaul,3,20
Jarvis Varnado,2009-10,81,210,PF,Mississippi State,4,57
Art Parakhouski,2009-10,83,268,C,Radford,4,400
Matt Bouldin,2009-10,77,214,PG/SG,Gonzaga,4,53
Samardo Samuels,2009-10,80,245,PF,Louisville,2,4
Darington Hobson,2009-10,78,204,SF,New Mexico,3,107
Denis Clemente,2009-10,72,175,PG,Kansas State,4,92
Marquis Gilstrap,2009-10,79,215,SF,Iowa State,4,400
Hamady Ndiaye,2009-10,84,240,C,Rutgers,4,69
Charles Garcia,2009-10,81,232,SF/PF,Seattle,3,400
Landon Milbourne,2009-10,79,207,SF,Maryland,4,106
Luke Harangody,2009-10,79,240,SF/PF,Notre Dame,4,89
Sherron Collins,2009-10,71,217,PG,Kansas,4,16
Andy Rautins,2009-10,77,192,SG,Syracuse,4,400
AJ Ogilvy,2009-10,82,250,C,Vanderbilt,3,100
Dexter Pittman,2009-10,83,303,C,Texas,4,118
Michael Washington,2009-10,82,239,PF,Arkansas,4,54
Derrick Caracter,2009-10,81,280,PF,UTEP,3,24
Jerome Dyson,2009-10,75,180,SG,UConn,4,45
Kevin Palmer,2009-10,78,205,SF,Texas A&M Corpus Christi,4,400
Magnum Rolle,2009-10,82,220,SF/PF,Louisiana Tech,4,17
JP Prince,2009-10,79,205,SG,Tennessee,4,25
Theo Robertson,2009-10,78,220,SG/SF,California,4,400
Ben Uzoh,2009-10,75,200,PG/SG,Tulsa,4,169
Ryan Thompson,2009-10,78,210,SG/SF,Rider,4,400
Deon Thompson,2009-10,80,240,PF,UNC,4,50
Tommy Mason-Griffin,2009-10,70,203,PG,Oklahoma,1,32
Jon Scheyer,2009-10,78,180,PG/SG,Duke,4,42
Edwin Ubiles,2009-10,78,198,SG,Siena,4,201
Tyren Johnson,2009-10,80,204,SF,Louisiana Lafayette,4,400
DeShawn Sims,2009-10,80,230,SF/PF,Michigan,4,30
Sylven Landesberg,2009-10,78,210,SG,Virginia,2,35
Wayne Chism,2009-10,80,246,PF,Tennessee,4,41
Marqus Blakely,2009-10,77,225,SF,Vermont,4,400
Jerome Randle,2009-10,70,165,PG,California,4,138
Raymar Morgan,2009-10,79,210,SF,Michigan State,4,34
Aubrey Coleman,2009-10,75,210,SG,Houston,4,400
Landry Fields,2009-10,79,210,SF,Stanford,4,245
Marcus Johnson,2009-10,78,210,SG,USC,4,68
Omar Samhan,2009-10,82,265,C,Saint Mary's,4,399
Dominique Archie,2009-10,79,200,SF,South Carolina,4,136
Patrick Christopher,2009-10,77,210,SG/SF,California,4,58
Scottie Reynolds,2009-10,73,185,PG,Villanova,4,51
Derrick Williams,2010-11,80,248,SF/PF,Arizona,2,94
Kyrie Irving,2010-11,75,191,PG,Duke,1,2
Brandon Knight,2010-11,75,177,PG/SG,Kentucky,1,5
Tristan Thompson,2010-11,81,227,PF,Texas,1,272
Alec Burks,2010-11,78,193,PG/SG,Colorado,2,194
Klay Thompson,2010-11,79,206,SG/SF,Washington State,3,42
Kemba Walker,2010-11,73,184,PG,UConn,3,12
Kawhi Leonard,2010-11,79,227,SF,San Diego State,2,57
Marcus Morris,2010-11,80,230,SF/PF,Kansas,3,113
Markieff Morris,2010-11,81,241,PF,Kansas,3,118
Jordan Hamilton,2010-11,80,228,SG/SF,Texas,2,7
Tobias Harris,2010-11,80,223,SF/PF,Tennessee,1,6
Tyler Honeycutt,2010-11,80,187,SG/SF,UCLA,2,31
Chris Singleton,2010-11,81,230,SF/PF,Florida State,3,17
Marshon Brooks,2010-11,77,195,SG,Providence,4,285
Trey Thompkins,2010-11,82,239,PF,Georgia,3,76
Kenneth Faried,2010-11,79,225,PF,Morehead State,4,400
Darius Morris,2010-11,76,190,PG,Michigan,2,100
JaJuan Johnson,2010-11,82,220,PF,Purdue,4,43
Justin Harper,2010-11,81,228,PF,Richmond,4,400
Nikola Vucevic,2010-11,83,260,C,USC,3,281
Norris Cole,2010-11,73,174,PG,Cleveland State,4,400
Kyle Singler,2010-11,81,228,SF,Duke,4,6
Shelvin Mack,2010-11,74,205,PG/SG,Butler,3,294
Nolan Smith,2010-11,75,189,PG/SG,Duke,4,22
Reggie Jackson,2010-11,75,200,PG/SG,Boston College,3,89
Chandler Parsons,2010-11,82,221,SF,Florida,4,29
Travis Leslie,2010-11,76,205,SG/SF,Georgia,3,105
Jon Leuer,2010-11,83,223,PF,Wisconsin,4,81
Malcolm Lee,2010-11,77,198,PG/SG,UCLA,3,33
Josh Selby,2010-11,75,195,PG/SG,Kansas,1,3
Jordan Williams,2010-11,81,247,PF,Maryland,2,89
Cory Joseph,2010-11,75,186,PG,Texas,1,11
Iman Shumpert,2010-11,77,222,PG/SG,Georgia Tech,3,23
Andrew Goudelock,2010-11,74,198,PG/SG,Charleston,4,400
Keith Benson,2010-11,83,217,C,Oakland,4,400
Charles Jenkins,2010-11,75,216,PG/SG,Hofstra,4,400
Matthew Bryan-Amaning,2010-11,82,232,PF,Washington,4,54
Jimmy Butler,2010-11,79,222,SF,Marquette,4,400
Malcolm Thomas,2010-11,81,223,PF,San Diego State,4,400
Willie Reed,2010-11,81,220,PF,St. Louis,3,262
Ravern Johnson,2010-11,78,170,SG/SF,Mississippi State,4,111
Julyan Stone,2010-11,78,200,PG,UTEP,4,400
Rick Jackson,2010-11,81,242,PF,Syracuse,4,65
DeAndre Liggins,2010-11,78,202,SG,Kentucky,3,34
Greg Smith,2010-11,81,253,PF/C,Fresno State,2,142
Jereme Richmond,2010-11,79,207,SF,Illinois,1,29
Etwaun Moore,2010-11,76,191,PG/SG,Purdue,4,26
David Lighty,2010-11,78,216,SG,Ohio State,4,33
Cameron Long,2010-11,76,192,SG,George Mason,4,400
Justin Hurtt,2010-11,76,195,SG,Tulsa,4,400
LaceDarius Dunn,2010-11,76,188,SG,Baylor,4,41
DeAngelo Casto,2010-11,80,255,PF,Washington State,3,247
Jamie Skeen,2010-11,80,242,PF,VCU,4,68
Gary Flowers,2010-11,80,214,SF,Southern Miss.,4,38
Diante Garrett,2010-11,77,181,PG,Iowa State,4,181
Vernon Macklin,2010-11,82,244,PF,Florida,4,26
Xavier Silas,2010-11,76,200,SG,Northern Illinois,4,229
