RealGM ID,Name,School,Season,Height,Age,RSCI,n_opp,sq_ppp,blk,stl,oreb,dreb,rim_freq,rim_sq,three_freq,three_sq,tov_freq,spacing,passing,Win Shares,NBA Minutes
24156,Rakeem Christmas,SYR,2015,81,23.6,23.0,549,74,100,79,99,98,75,99,12,16,66,12,65,5.5,112.8
41445,Chris McCullough,SYR,2015,83,20.4,21.0,173,39,3,2,50,2,79,67,2,2,27,3,2,1.86,177.5
28762,Corey Hilliard,USF,2015,73,22.7,234.0,100,17,21,28,2,13,9,5,60,57,71,36,46,0.26,0.0
24272,J.P. Tokoto,UNC,2015,78,21.8,65.0,397,15,8,5,77,4,44,59,26,63,15,38,5,3.39,0.0
73165,Tyler Davis,AAM,2015,82,18.1,31.0,198,14,18,69,25,18,24,20,80,64,6,63,67,,0.9
81438,Noah Knight,MKC,2015,73,19.2,400.0,121,47,26,73,32,19,49,29,59,23,40,33,59,1.16,0.0
31267,Briante Weber,VCU,2015,74,22.5,400.0,202,16,43,100,23,48,24,19,35,78,34,40,98,2.56,203.4
24174,Sir'Dominic Pointer,STJ,2015,77,23.2,34.0,458,77,16,9,79,9,69,94,23,13,61,23,9,5.27,0.0
56935,Brandon Goodwin,UCF,2015,72,19.7,400.0,396,16,43,89,68,67,38,48,37,17,11,41,98,1.38,402.2
22550,Tj Mcconnell,UA,2015,74,23.3,348.0,411,31,28,89,46,57,16,24,41,78,28,66,91,6.64,1527.2
44712,R.J. Hunter,GSU,2015,78,21.7,283.0,669,85,15,9,44,8,27,50,75,22,87,94,9,7.15,98.6
24287,Willie Cauley-Stein,Ken,2015,84,21.9,43.0,341,90,19,11,90,10,96,100,12,12,72,11,11,6.18,1325.0
30624,Larry Nance Jr.,WYO,2015,79,22.5,400.0,479,82,12,7,62,7,57,82,27,76,67,45,7,5.82,1361.0
41490,D'Angelo Russell,OSU,2015,76,19.3,16.0,683,79,4,2,53,2,28,52,67,87,58,99,2,6.96,1782.3
24675,Rondae Hollis-Jefferson,UA,2015,78,20.5,16.0,422,91,16,9,88,9,73,93,26,29,67,33,9,6.09,1126.8
39311,Karl-Anthony Towns,Ken,2015,84,19.6,5.0,376,91,11,6,91,6,88,98,18,53,65,22,6,6.53,2353.0
24201,D'Angelo Harrison,STJ,2015,76,21.9,46.0,578,85,4,2,54,2,30,51,62,75,94,92,2,4.9,0.0
31768,Marcus Burton,WC,2015,72,22.4,400.0,515,69,13,82,32,46,17,30,66,41,84,84,62,2.71,0.0
52352,Kelly Oubre Jr.,KU,2015,78,19.6,7.0,337,84,11,7,61,6,65,76,56,69,77,75,7,3.49,1723.1
42079,Cliff Alexander,KU,2015,80,19.6,4.0,205,83,95,15,86,75,97,92,3,3,70,10,21,2.36,36.0
57096,Vince Hunter,UTE,2015,80,20.9,151.0,503,66,92,93,98,99,77,99,18,58,40,24,72,4.49,7.4
161654,Dakari Johnson,Ken,2015,72,15.6,10.0,272,79,93,38,93,85,88,91,3,3,61,8,37,,0.0
24651,Robert Upshaw,WAS,2015,84,21.5,56.0,210,82,100,21,86,83,97,95,10,10,83,4,28,2.6,0.0
24182,Dez Wells,UMD,2015,77,23.2,54.0,467,40,72,78,73,85,45,65,30,100,21,63,89,3.38,0.0
9389,Jerian Grant,ND,2015,76,22.7,111.0,605,89,84,100,28,80,16,39,55,26,67,91,100,7.85,999.7
28238,Trey Lyles,Ken,2015,81,19.6,12.0,324,65,79,59,90,89,69,82,27,16,74,28,48,4.59,1173.7
26752,Tyus Jones,DUK,2015,73,19.1,8.0,475,88,42,100,43,88,22,35,56,77,47,81,100,6.59,1196.9
28741,Travis Trice,MSU,2015,74,22.4,207.0,602,68,57,93,36,77,4,14,75,78,90,99,99,5.96,0.0
31272,Marcus Thornton,W&M,2015,76,22.4,405.0,590,92,46,63,17,61,21,41,80,89,81,100,90,4.82,0.0
28852,Terran Petteway,NEB,2015,78,22.7,167.0,663,35,90,89,47,93,33,60,65,33,54,96,88,3.27,0.0
28787,Josh Richardson,UT,2015,77,21.8,246.0,539,57,80,99,52,85,20,38,49,80,52,85,95,4.77,1861.8
41438,Devin Booker,Ken,2015,78,18.7,22.0,350,96,31,51,42,47,30,37,78,95,94,96,48,4.59,2296.0
28236,Jordan Mickey,LSU,2015,80,21.0,37.0,534,43,100,80,99,100,75,98,17,37,30,21,57,4.04,160.8
24160,Branden Dawson,MSU,2015,78,22.4,16.0,426,61,99,92,99,100,83,99,2,2,52,11,67,4.52,28.9
22869,Joseph Young,ORE,2015,74,23.0,107.0,729,86,24,94,40,94,12,36,68,67,83,98,95,5.68,358.9
24723,Olivier Hanlan,BC,2015,76,22.4,211.0,639,72,26,92,45,82,31,58,58,78,70,91,98,4.53,0.0
24309,Aaron Harrison,Ken,2015,78,20.7,6.0,450,85,53,93,31,69,23,37,81,44,99,92,59,5.31,114.4
24654,Chris Obekpa,STJ,2015,81,21.6,66.0,217,47,100,79,93,93,94,90,13,32,53,13,28,2.52,0.0
22883,DJ Newbill,PSU,2015,76,23.1,220.0,698,74,58,76,63,67,33,54,48,72,74,90,80,5.68,0.0
80338,Eric Paschall,FU,2015,78,18.6,210.0,473,53,72,62,81,80,62,81,61,36,54,74,47,2.06,1028.4
42082,Rashad Vaughn,UNL,2015,78,18.9,10.0,420,76,63,55,37,79,43,56,67,78,80,82,66,2.59,557.0
24685,Jahlil Okafor,DUK,2015,83,19.5,1.0,618,91,99,78,100,99,79,100,5,5,52,9,61,6.82,804.4
24199,Chasson Randle,STA,2015,75,22.4,62.0,712,90,49,97,18,86,19,41,69,62,89,99,90,6.48,479.8
52575,Myles Turner,TXA,2015,83,19.3,6.0,360,70,100,30,79,98,68,79,39,35,71,50,29,4.14,1768.5
22478,Alfonzo Mckinnie,WGB,2015,80,22.8,400.0,272,60,76,44,89,79,86,89,43,40,67,49,14,2.11,422.9
24195,Norman Powell,UCL,2015,75,22.1,53.0,606,70,81,100,48,95,27,44,41,68,71,79,77,4.48,1346.2
24215,Ryan Boatright,CON,2015,71,22.5,55.0,589,87,63,96,36,90,11,22,73,88,64,99,96,6.3,0.0
24345,Kevin Pangos,ZAG,2015,74,22.4,144.0,401,98,46,96,32,72,9,17,88,99,77,99,99,6.84,166.0
24644,Terry Rozier,UL,2015,73,21.3,29.0,662,62,57,100,72,96,35,57,50,40,81,84,90,6.17,1777.0
57476,Cameron Payne,MSt,2015,75,20.9,359.0,679,77,80,99,48,82,15,36,64,68,71,99,100,7.43,713.4
56842,Delon Wright,UT,2015,77,23.2,159.0,470,94,93,100,66,92,36,52,36,52,65,56,100,8.57,1225.3
23974,Matt Stainbrook,XU,2015,82,23.3,400.0,427,93,88,63,94,99,75,96,16,67,39,20,84,5.17,0.0
41451,Christian Wood,UNL,2015,82,19.8,48.0,518,71,100,31,98,100,72,98,39,39,54,59,59,5.12,874.4
31229,Damion Lee,DU,2015,77,22.7,247.0,372,98,54,74,41,75,37,43,69,87,97,86,79,5.75,907.5
31059,Tyler Harvey,EWU,2015,76,22.0,400.0,559,99,42,84,47,67,22,40,89,82,90,100,86,6.18,0.0
24179,Quinn Cook,DUK,2015,73,22.3,33.0,549,100,27,93,36,87,13,26,89,96,95,100,85,6.88,530.4
24290,Montrezl Harrell,UL,2015,79,21.4,81.0,511,84,96,80,100,99,84,100,24,16,69,28,64,6.7,1409.1
31153,Alan Williams,CSB,2015,80,22.4,400.0,404,76,93,67,97,99,77,94,14,54,94,16,74,4.88,217.9
9306,Marcus Thornton,UGA,2015,80,22.9,121.0,396,88,93,68,89,98,73,91,26,37,86,32,45,4.0,0.0
41442,Jarell Martin,LSU,2015,82,21.1,12.0,577,76,87,91,99,100,79,100,28,26,54,43,69,5.19,731.6
30549,Seth Tuttle,UNI,2015,81,22.8,150.0,469,89,85,84,79,99,58,83,27,99,17,63,93,7.58,0.0
24247,Brandon Ashley,UA,2015,81,21.0,18.0,440,86,89,59,93,90,72,94,27,57,83,42,32,5.31,0.0
28956,Darrun Hilliard,VIL,2015,78,22.2,274.0,467,93,72,100,33,75,31,45,85,76,97,95,80,5.64,286.4
3587,Tyler Haws,BYU,2015,77,24.2,131.0,712,92,67,82,78,84,42,76,45,71,93,87,84,6.45,0.0
24157,Wayne Blackshear,UL,2015,77,23.4,27.0,408,93,87,89,58,88,40,54,85,49,98,95,56,4.91,0.0
42932,Richaun Holmes,BGF,2015,82,21.7,400.0,413,89,100,64,97,97,75,95,30,82,69,50,44,5.28,1131.7
31269,Treveon Graham,VCU,2015,77,21.7,395.0,532,93,67,56,93,97,46,69,64,83,99,92,73,5.24,720.8
30901,Keifer Sykes,WGB,2015,72,21.5,400.0,564,65,51,96,44,86,42,71,50,29,85,82,95,6.18,566.3
24147,Le'Bryan Nash,OSC,2015,79,23.0,8.0,590,52,12,7,54,7,43,68,20,20,37,24,7,3.69,0.0
30741,TaShawn Thomas,UOK,2015,80,22.3,108.0,426,56,17,10,86,10,70,95,14,19,57,15,10,4.35,0.0
9301,Bryce Dejean-Jones,ISU,2015,77,22.9,74.0,349,61,2,1,56,1,55,72,49,49,65,57,1,3.48,278.6
24284,Michael Frazier II,UF,2015,76,21.3,94.0,316,73,14,8,41,7,39,42,90,65,59,85,8,3.25,144.6
24291,Justin Anderson,UV,2015,78,21.6,50.0,291,98,77,52,48,72,55,63,74,96,88,88,67,4.44,546.6
31723,Royce Oneale,BAY,2015,78,22.1,400.0,325,92,66,90,90,88,63,74,65,99,42,92,92,5.08,1903.2
26756,Stanley Johnson,UA,2015,78,19.1,3.0,537,76,79,98,95,97,63,82,45,91,59,81,67,5.89,1201.2
42338,Michael Qualls,Ark,2015,78,21.4,152.0,557,94,82,84,90,92,60,88,59,52,88,90,65,4.96,0.0
30323,Justise Winslow,DUK,2015,78,19.3,13.0,519,86,92,98,84,100,55,81,47,93,64,88,78,5.66,1161.6
41433,Bobby Portis,Ark,2015,83,20.4,17.0,581,91,98,92,100,99,80,100,22,75,95,39,52,6.29,1405.3
28239,Sam Dekker,WIS,2015,81,21.2,12.0,497,97,82,61,94,95,70,97,61,53,99,84,55,7.13,619.5
31774,Jalen Cannon,STF,2015,78,22.2,400.0,509,95,85,66,100,100,91,100,36,65,89,68,41,6.41,0.0
23605,Tyshawn Bell,DEL,2015,79,23.8,400.0,366,85,61,82,79,94,65,76,88,82,97,93,42,3.49,0.0
18380,Aaron White,IOW,2015,77,30.9,169.0,485,100,81,95,92,98,77,97,32,76,97,61,63,,0.0
31664,Tyler Kalinoski,DAV,2015,76,22.5,400.0,486,96,74,92,78,92,42,64,84,97,96,100,98,5.95,0.0
30433,Mark Tollefsen,USF,2015,81,22.6,400.0,397,94,90,72,89,87,69,91,57,85,97,84,64,4.49,0.0
28751,Frank Kaminsky,WIS,2015,84,22.2,242.0,634,99,98,84,87,100,53,89,37,97,95,87,88,10.07,1132.1
41494,Kevon Looney,UCL,2015,81,19.4,11.0,430,82,92,96,100,100,91,100,32,88,92,59,61,4.89,859.1
24234,Pat Connaughton,ND,2015,76,22.5,97.0,426,99,94,75,71,100,57,78,92,99,91,100,68,5.52,1102.4
24242,DaJuan Coleman,SYR,2016,81,23.7,22.0,201,62,4,2,83,2,98,93,3,3,14,1,2,2.28,0.0
44094,Fred Van Vleet,WSU,2016,72,22.3,400.0,378,51,7,4,16,4,14,21,55,73,76,69,4,5.19,1643.8
81056,Wade Baldwin IV,VAN,2016,76,20.3,131.0,503,55,17,10,22,9,22,39,41,85,24,75,10,4.65,193.0
