Season,Year,RSCI,First Name,Last Name,Conference,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,AST/TO%,OWS,DWS,WS,WS/40,WS/40 * BPM,OBPM,DBPM,BPM,FT%,3PT%,3PT Confidence,FG% on 2PT Jumpers,% 2PT Jumpers Assisted,Shooting%,FG% at Rim,% at Rim Assisted,Finishing%,Offensive Self Creation
2019-20,1,3,Cole,Anthony,ACC,22,20,768,17.5,0.501,0.451,0.409,0.371,383,1.4,16.4,8.7,24.1,2.1,0.9,15.9,30,1.14,1.2,0.9,2.1,0.108,0.5292,3.6,1.3,4.9,75,34.8,14.2332,33.3,4.4,30.99,53.6,8.1,23.86,57.74
2019-20,1,10,Tyrese,Maxey,SEC,31,28,1069,16.3,0.531,0.474,0.322,0.342,424,1.4,12.1,7.3,18.7,1.5,1.3,14.1,22.7,1.48,2.1,1.5,3.6,0.134,0.7236,3.1,2.4,5.4,83.3,29.2,9.4024,35.7,10.9,31.2,65.1,16.9,26.21,64.29
2019-20,1,9,Nico,Mannion,Pac-12,32,32,1032,17.2,0.52,0.465,0.441,0.362,472,0.9,7.9,4.4,31.5,2.1,0,16,24.5,2.06,2.2,1.7,3.9,0.152,0.8512,4.2,1.4,5.6,79.7,32.7,14.4207,39.4,11.5,35,54.1,22.5,20.31,57.43
2019-20,2,196,Tyrese ,Haliburton,Big 12,22,22,807,25.9,0.631,0.611,0.508,0.184,365,4.6,13.7,9.2,35.3,3.8,2,18.7,20.1,2.33,2.7,1,3.8,0.187,2.2627,9.1,3.1,12.1,82.2,41.9,21.2852,43.3,0,46.24,75,33.3,24.24,88.72
2019-20,2,11,Tre,Jones,ACC,29,29,1028,21.2,0.524,0.474,0.282,0.366,513,2.1,10.8,6.5,31.4,2.8,0.9,14.8,24,2.37,3,2,4.9,0.192,1.6512,5.3,3.3,8.6,77.1,36.1,10.1802,38.3,4.8,33.2,54,18,21.45,58.15
2019-20,2,23,Devon,Dotson,Big 12,30,30,1047,24.9,0.578,0.517,0.316,0.44,534,2,10.7,6.6,22.5,3.5,0.3,13.4,26.4,1.64,3.8,2.4,6.2,0.238,2.6894,7.5,3.9,11.3,83,30.9,9.7644,24.3,5.9,23.86,64.8,18.1,25.71,49.29
2019-20,2,45,Kira,Lewis Jr.,SEC,31,31,1167,19.8,0.56,0.521,0.341,0.292,593,2.3,10.6,6.5,27.7,2.5,1.5,17.7,24.3,1.47,2.9,1.2,4.1,0.142,0.852,4.1,1.9,6,80.2,36.6,12.4806,34.8,16.1,29.66,57.9,19.3,22.64,53.3
2019-20,4,354,Malachi,Flynn,MWC,32,32,1070,27.7,0.583,0.532,0.489,0.336,580,2.3,13.3,8,30.7,3.2,0.4,10.5,26.8,2.84,4.9,2.5,7.4,0.278,3.3916,8.5,3.7,12.2,85.7,37.3,18.2397,38.4,8.3,39.3,68.2,15,28.08,88.45
2019-20,4,32,Cassius,Winston,Big Ten,30,30,980,23,0.585,0.536,0.409,0.327,553,0.7,7.1,4.2,36.5,2.1,0.1,16.8,29.1,1.83,3.5,1.5,5,0.204,1.7136,7.5,0.9,8.4,85.2,43.2,17.6688,41.2,26.3,34.7,51.9,16.4,21.02,58.36
2019-20,4,51,Payton,Pritchard,Pac-12,31,31,1135,27.1,0.601,0.563,0.459,0.303,640,2.3,11.5,7.1,31.5,2.5,0.1,13.9,28.2,2.02,5.3,1.4,6.7,0.235,2.538,10,0.7,10.8,82.1,41.5,19.0485,37.1,13.9,35.75,60.1,13,25.33,71.96
2019-20,4,87,Markus,Howard,Big East,29,29,963,29.2,0.593,0.53,0.524,0.444,730,1.9,9.1,5.7,26.2,1.6,0.1,12.6,39.3,0.97,4.8,1,5.8,0.24,2.376,11.4,-1.4,9.9,84.7,41.2,21.5888,41.4,12.7,41.41,46.1,7.5,20.66,66.1
2019-20,4,96,Myles,Powell,Big East,28,28,883,22.3,0.524,0.479,0.527,0.308,544,3.3,11.2,7.4,21.3,2.2,0.6,12.2,35.6,1.04,2.3,1.3,3.6,0.163,1.0921,6.3,0.5,6.7,79.5,30.6,16.1262,28.4,14.3,27.41,60.1,24.2,22.07,47.45
2018-19,2,354,Ja,Morant,OVC,33,33,1207,31.6,0.612,0.553,0.296,0.512,913,3.9,12.7,8.6,51.8,2.7,2.3,20.5,33.3,1.95,5.8,2.4,8.2,0.273,2.7027,7.9,2,9.9,81.3,36.3,10.7448,39.1,8.3,34.52,61,27.3,21.48,59.51
2018-19,1,21,Coby,White,ACC,35,35,999,19.2,0.556,0.516,0.523,0.293,538,1.3,11.3,6.4,24.4,2,1.3,15.5,26.8,1.54,2.4,1.7,4.1,0.165,1.3365,5.8,2.3,8.1,80,35.3,18.4619,34.8,15.4,32.78,67,17.9,26.65,68.6
2018-19,3,106,Carsen,Edwards,Big Ten,36,36,1275,23.2,0.541,0.49,0.541,0.314,787,1.3,10.6,6,18.3,2.3,1,12.3,37.3,0.92,4,1.6,5.6,0.176,1.0912,6.5,-0.2,6.2,83.7,35.5,19.2055,36.4,14.6,35.62,49.2,17,19.78,54.68
2018-19,2,34,Nickeil,Alexander-Walker,ACC,34,34,1167,21.9,0.586,0.546,0.387,0.359,543,1.8,13,7.6,24.6,3.4,2.3,17.1,26.5,1.39,3.1,2.5,5.5,0.189,1.701,4.7,4.3,9,77.8,37.4,14.4738,40.7,10.8,35.48,61.3,17.9,24.38,67.66
