Name,Season,Height,Weight,Position,School,Class,RSCI
Joel Embiid,2013-14,84,250,C,Kansas,1,14
Jabari Parker,2013-14,81,240,SF/PF,Duke,1,4
Andrew Wiggins,2013-14,80,200,SF,Kansas,1,1
Marcus Smart,2013-14,75,227,PG,Oklahoma State,2,10
Julius Randle,2013-14,81,250,PF,Kentucky,1,2
Noah Vonleh,2013-14,81,247,PF,Indiana,1,11
Zach LaVine,2013-14,78,180,PG/SG,UCLA,1,51
Elfrid Payton,2013-14,76,185,PG,Louisiana Lafayette,3,400
Doug McDermott,2013-14,79,220,SF,Creighton,4,155
Aaron Gordon,2013-14,81,220,PF,Arizona,1,3
Gary Harris,2013-14,76,205,SG,Michigan State,2,19
Rodney Hood,2013-14,80,208,SF,Duke,2,29
Nik Stauskas,2013-14,78,207,SG,Michigan,2,110
Glenn Robinson,2013-14,79,211,SF,Michigan,2,17
TJ Warren,2013-14,80,220,SF,NC State,2,23
Kyle Anderson,2013-14,81,230,SF,UCLA,2,3
Jordan Clarkson,2013-14,76,186,PG/SG,Missouri,3,206
Shabazz Napier,2013-14,72,175,PG,UConn,4,82
Tyler Ennis,2013-14,74,180,PG,Syracuse,1,23
James Young,2013-14,78,215,SG,Kentucky,1,9
Jerami Grant,2013-14,80,214,SF,Syracuse,2,48
Cleanthony Early,2013-14,79,210,SF/PF,Wichita State,4,193
CJ Wilcox,2013-14,77,201,SG,Washington,4,111
Adreian Payne,2013-14,82,240,PF,Michigan State,4,22
Jordan Adams,2013-14,77,209,SG,UCLA,2,64
Spencer Dinwiddie,2013-14,78,205,PG/SG,Colorado,3,132
KJ McDaniels,2013-14,78,196,SF,Clemson,3,224
Jarnell Stokes,2013-14,80,260,PF,Tennessee,3,41
Johnny OBryant,2013-14,80,257,PF/C,LSU,3,40
Markel Brown,2013-14,76,185,SG,Oklahoma State,4,142
DeAndre Daniels,2013-14,80,195,SF,UConn,3,18
Nick Johnson,2013-14,75,198,SG,Arizona,3,25
Dwight Powell,2013-14,83,235,PF,Stanford,4,34
Semaj Christon,2013-14,75,186,PG,Xavier,2,31
Khem Birch,2013-14,81,209,PF,UNLV,3,14
Mitch McGary,2013-14,82,266,C,Michigan,2,28
Jabari Brown,2013-14,76,215,SG,Missouri,3,17
James Michael McAdoo,2013-14,81,230,PF,UNC,3,7
Cameron Bairstow,2013-14,82,252,PF,New Mexico,4,400
Deonte Burton,2013-14,73,193,PG/SG,Nevada,4,229
CJ Fair,2013-14,80,218,SF,Syracuse,4,81
Cory Jefferson,2013-14,81,220,PF,Baylor,4,67
Alec Brown,2013-14,85,231,PF/C,Wisconsin Green Bay,4,400
Ronald Roberts,2013-14,80,215,PF,St. Joseph's,4,231
DeAndre Kane,2013-14,76,200,PG/SG,Iowa State,4,400
Tarik Black,2013-14,81,260,PF/C,Kansas,4,62
Patric Young,2013-14,82,247,PF/C,Florida,4,18
Juvonte Reddic,2013-14,81,250,PF/C,VCU,4,176
Fuquan Edwin,2013-14,78,210,SG/SF,Seton Hall,4,162
Andre Dawkins,2013-14,77,205,SG,Duke,4,31
Sean Kilpatrick,2013-14,76,220,SG,Cincinnati,4,341
Jahii Carson,2013-14,71,180,PG,Arizona State,2,32
Kendall Williams,2013-14,75,183,PG,New Mexico,4,149
Roy Devyn,2013-14,78,192,SG,Iowa,4,200
Keith Appling,2013-14,73,180,PG/SG,Michigan State,4,37
Xavier Thames,2013-14,75,187,PG/SG,San Diego State,4,121
Jordan Bachynski,2013-14,86,248,C,Arizona State,4,288
Casey Prather,2013-14,77,200,SG,Florida,4,52
LaQuinton Ross,2013-14,80,240,SF,Ohio State,3,44
Justin Cobbs,2013-14,74,190,PG,California,4,216
Russ Smith,2013-14,73,160,PG/SG,Louisville,4,282
Eric Moreland,2013-14,82,225,PF/C,Oregon State,3,252
Akil Mitchell,2013-14,81,230,PF,Virginia,4,236
Jordan McRae,2013-14,77,180,SG,Tennessee,4,41
Geron Johnson,2013-14,75,203,SG,Memphis,4,154
Lamar Patterson,2013-14,77,225,SG/SF,Pitt,4,99
Melvin Ejim,2013-14,78,220,SF/PF,Iowa State,4,189
Jerrelle Benimon,2013-14,80,245,PF,Towson,4,316
Roscoe Smith,2013-14,81,202,PF,UNLV,3,31
Brendan Lane,2013-14,81,235,PF,Pepperdine,4,64
Richard Solomon,2013-14,83,225,PF/C,California,4,98
Scottie Wilbekin,2013-14,75,170,PG,Florida,4,250
Cameron Clark,2013-14,78,210,SF,Oklahoma,4,33
Talib Zanna,2013-14,80,230,PF,Pitt,4,135
Devin Oliver,2013-14,79,225,SF,Dayton,4,202
Sim Bhullar,2013-14,89,360,C,New Mexico State,2,140
Joe Jackson,2013-14,72,170,PG,Memphis,4,20
Roberto Nelson,2013-14,75,195,PG/SG,Oregon State,4,77
Aaron Craft,2013-14,74,192,PG,Ohio State,4,91
Bryce Cotton,2013-14,72,165,PG,Providence,4,400
Alex Kirk,2013-14,82,252,C,New Mexico,3,88
Jamil Wilson,2013-14,79,220,SF,Marquette,4,50
