Name,Season,Height,Weight,Position,School,Class,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,ORTG,DRTG,AST/TOV,NBA GP,NBA MPG,NBA WS,NBA WSP48,NBA BPM,NBA VORP,NBA PLUSMINUS
Blake Griffin,2008-09,82,248,PF,Oklahoma,2,16.0,35,35,1165,,0.648,0.657,0.017,0.706,,,,24.0,16.3,,2.6,15.9,30.8,6.1,3.5,9.7,0.332,,,,,,0.69,645,34.7,75.8,.163,3.6,31.8,+7.0
James Harden,2008-09,77,222,SG,Arizona State,2,14.0,35,35,1254,,0.607,0.5529999999999999,0.361,0.597,,,,10.4,29.2,,0.8,16.9,32.5,5.1,2.0,7.2,0.229,,,,,,1.25,872,34.5,141.5,.226,6.9,67.8,+5.1
Jordan Hill,2008-09,82,232,PF,Arizona,3,353.0,34,34,1213,,0.56,0.537,0.0,0.382,,,,19.0,9.6,,3.9,14.9,28.2,3.0,2.1,5.1,0.16699999999999998,,,,,,0.52,409,18.8,16.4,.102,-2.0,0.0,-5.2
Hasheem Thabeet,2008-09,86,267,C,UConn,3,,36,36,1145,,0.6459999999999999,0.64,0.0,0.763,,,,17.9,2.9,,9.2,15.2,19.0,3.8,5.6,9.4,0.329,,,,,,0.25,224,10.5,4.8,.099,-2.7,-0.4,-5.7
Stephen Curry,2008-09,75,181,PG/SG,Davidson,3,256.0,34,34,1145,,0.604,0.5489999999999999,0.489,0.365,,,,6.9,40.2,,0.6,13.5,38.3,6.4,3.6,9.9,0.348,,,,,,1.5,738,34.3,108.3,.205,6.4,53.9,+11.7
DeMar DeRozan,2008-09,79,211,SG,USC,1,6.0,35,35,1168,,0.555,0.531,0.098,0.401,,,,,,,,14.3,,2.4,1.7,4.1,0.14,,,,,,0.7,856,34.1,72.3,.119,0.5,18.8,-2.9
BJ Mullens,2008-09,84,258,C,Ohio State,1,2.0,33,2,671,,0.629,0.638,0.005,0.495,,,,14.6,3.3,,4.7,18.0,24.0,2.3,1.0,3.3,0.198,,,,,,0.18,189,18.2,0.6,.008,-4.0,-1.8,-4.8
Jonny Flynn,2008-09,72,196,PG,Syracuse,2,18.0,38,38,1418,,0.5670000000000001,0.507,0.298,0.481,,,,,,,,18.1,,3.3,1.5,4.9,0.13699999999999998,,,,,,1.97,163,22.9,-1.1,-0.015,-4.0,-1.9,-7.5
Earl Clark,2008-09,82,226,SF,Louisville,3,21.0,37,36,1269,,0.517,0.4920000000000001,0.215,0.314,,,,,,,,19.0,,1.6,4.2,5.8,0.184,,,,,,1.0,261,13.9,2.9,.038,-2.8,-0.8,-8.5
James Johnson,2008-09,80,257,SF,Wake Forest,2,91.0,31,31,946,,0.593,0.574,0.2,0.287,,,,,,,,15.9,,2.7,2.6,5.3,0.224,,,,,,0.84,663,20.5,25.3,.089,0.8,9.6,-1.8
