RealGM ID,Season,Name,Position 1,Position 2,School,Conference,Wins,Losses,SOS,Class,Birthday,Draft Day Age,Height,Weight,Height w/o Shoes,Height w/ Shoes,Wingspan,Standing Reach,Body Fat %,Hand Length,Hand Width,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,AST/TOV,OFF RTG,DEF RTG,Hands-On Buckets,Pure Point Rating,FG/40,FGA/40,FG%,2FGM/40,2FGA/40,2FG%,3FGM/40,3FGA/40,3FG%,FT/40,FTA/40,FT%,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,FGM/100Poss,FGA/100Poss,2FGM/100Poss,2FGA/100Poss,3FGM/100Poss,3FGA/100Poss,FT/100Poss,FTA/100Poss,TRB/100Poss,AST/100Poss,STL/100Poss,BLK/100Poss,TOV/100Poss,PF/100Poss,PTS/100Poss,# Dunks,% Shots @ Rim,FG% @ Rim,%Astd @ Rim,% Shots @ Mid,FG% @ Mid,%Astd @ Mid,% Shots @ 3,%Astd @ 3,AAU Season,AAU Team,AAU League,AAU GP,AAU GS,AAU MIN,AAU PTS,AAU FGM,AAU FGA,AAU FG%,AAU 3PM,AAU 3PA,AAU 3P%,AAU FTM,AAU FTA,AAU FT%,AAU ORB,AAU DRB,AAU TRB,AAU AST,AAU STL,AAU BLK,AAU TOV,AAU PF,Event Year,Event Name,Event GP,Event MIN,Event PTS,Event FGM,Event FGA,Event FG%,Event 3PM,Event 3PA,Event 3P%,Event FTM,Event FTA,Event FT%,Event TRB,Event AST,Event STL,Event BLK,Event TOV,Event PF,Event Placement,Draft Pick,NBA MPG,NBA Draft Pick,Result
151853,2021-22,Jake LaRavia,SF,PF,Wake Forest,ACC,23.0,10.0,4.75,3.0,"Nov 3, 2001",20.65,80,227.2,78.75,80.0,81.5,104.0,9.0,8.5,10.25,250.0,33,33,1128.0,22.9,0.649,0.606,0.246,0.529,516.0,7.5,14.1,11.1,20.0,2.7,3.0,19.3,20.4,3.7,2.1,5.8,0.206,4.7,3.7,8.5,1.37,121.7,95.9,0.312,-0.66,5.9,10.5,0.559,4.9,7.9,0.616,1.0,2.6,0.384,4.3,5.6,0.777,7.7,4.3,2.0,1.1,3.2,3.3,17.1,8.3,14.8,6.9,11.2,1.4,3.6,6.1,7.8,10.8,6.1,2.7,1.6,4.4,4.6,24.0,32.0,50.8,65.6,54.5,24.6,53.4,7.7,24.6,89.3,,,,7.424242424242424,6.303030303030303,17.07272727272727,14.229545454545454,5.133787878787879,10.529242424242426,0.4956212121212121,1.0245454545454546,2.880757575757576,0.3238636363636363,2.895151515151515,4.257424242424243,0.6472575757575757,0.8113636363636363,4.7646969696969705,5.575454545454546,2.249848484848485,0.9378787878787878,0.8487878787878789,1.8921212121212123,2.2253030303030306,2013.455078125,,,,,,,,,,,,,,,,,,,,,,16.356737588652482,19.0,28.0
127888,2021-22,Tari Eason,PF,,LSU,SEC,21.0,12.0,8.3,2.0,"May 10, 2001",21.14,80,217.4,78.75,80.0,86.0,107.5,5.9,9.25,11.0,138.0,33,4,806.0,33.4,0.615,0.559,0.214,0.515,506.0,10.5,19.8,15.2,10.1,4.5,6.2,13.8,31.8,3.4,2.5,5.9,0.294,9.0,5.7,14.7,0.45,119.2,83.2,0.266,-6.19,9.4,18.1,0.521,8.0,14.2,0.564,1.4,3.9,0.359,7.5,9.3,0.803,10.8,1.6,3.2,1.8,3.6,4.5,27.7,13.4,25.7,11.4,20.2,2.0,5.5,10.6,13.3,15.4,2.3,4.5,2.5,5.1,6.4,39.4,47.0,59.2,63.9,44.2,19.5,33.8,45.8,21.4,85.7,,,,7.424242424242424,6.303030303030303,17.07272727272727,14.229545454545454,5.133787878787879,10.529242424242426,0.4956212121212121,1.0245454545454546,2.880757575757576,0.3238636363636363,2.895151515151515,4.257424242424243,0.6472575757575757,0.8113636363636363,4.7646969696969705,5.575454545454546,2.249848484848485,0.9378787878787878,0.8487878787878789,1.8921212121212123,2.2253030303030306,2013.455078125,,,,,,,,,,,,,,,,,,,,,,16.356737588652482,17.0,26.0
147080,2021-22,Bennedict Mathurin,SG,,Arizona,Pac-12,33.0,4.0,6.84,2.0,"Jun 19, 2002",20.03,78,204.6,76.5,78.0,81.0,104.0,5.7,8.5,9.75,129.0,37,37,1201.0,21.1,0.576,0.536,0.465,0.368,600.0,5.1,12.6,9.3,13.8,1.6,0.8,10.4,25.1,4.0,2.2,6.2,0.205,6.1,1.9,8.0,1.42,119.7,96.8,0.279,-0.26,7.3,16.1,0.45,4.5,8.6,0.521,2.8,7.5,0.369,4.5,5.9,0.764,6.9,3.1,1.2,0.3,2.2,2.3,21.8,10.0,22.2,6.2,11.9,3.8,10.3,6.2,8.2,9.5,4.3,1.6,0.5,3.0,3.1,30.0,38.0,36.0,63.2,57.3,17.6,29.4,32.0,46.5,75.9,,,,7.424242424242424,6.303030303030303,17.07272727272727,14.229545454545454,5.133787878787879,10.529242424242426,0.4956212121212121,1.0245454545454546,2.880757575757576,0.3238636363636363,2.895151515151515,4.257424242424243,0.6472575757575757,0.8113636363636363,4.7646969696969705,5.575454545454546,2.249848484848485,0.9378787878787878,0.8487878787878789,1.8921212121212123,2.2253030303030306,2021.0,U19 World Cup,7.0,28:14,16.1,5.6,11.4,0.487,1.4,4.1,0.345,3.6,4.4,0.806,4.0,1.9,0.4,0.3,2.1,2.1,Bronze,,16.356737588652482,6.0,26.0
143286,2021-22,Christian Braun,SG,,Kansas,Big 12,34.0,6.0,11.3,3.0,"Apr 17, 2001",21.2,79,209.2,77.5,79.0,78.5,99.5,6.2,8.0,8.5,130.0,40,39,1374.0,19.6,0.585,0.556,0.316,0.323,551.0,4.9,16.0,10.8,14.5,1.6,2.5,14.4,20.4,3.5,2.5,6.0,0.174,5.6,3.3,9.0,1.37,116.5,96.9,0.278,-0.5,6.0,12.2,0.495,4.5,8.3,0.545,1.5,3.8,0.386,2.9,3.9,0.733,7.6,3.2,1.1,1.0,2.4,2.1,16.4,8.7,17.5,6.5,12.0,2.1,5.5,4.1,5.7,10.9,4.6,1.6,1.4,3.4,3.1,23.6,27.0,51.2,61.2,45.3,16.9,34.8,12.5,31.9,88.2,,,,7.424242424242424,6.303030303030303,17.07272727272727,14.229545454545454,5.133787878787879,10.529242424242426,0.4956212121212121,1.0245454545454546,2.880757575757576,0.3238636363636363,2.895151515151515,4.257424242424243,0.6472575757575757,0.8113636363636363,4.7646969696969705,5.575454545454546,2.249848484848485,0.9378787878787878,0.8487878787878789,1.8921212121212123,2.2253030303030306,2013.455078125,,,,,,,,,,,,,,,,,,,,,,16.356737588652482,21.0,26.0
148740,2021-22,Jaden Ivey,SG,PG,Purdue,Big Ten,28.0,8.0,8.23,2.0,"Feb 13, 2002",20.38,76,195.0,77.44198312236287,78.72862165963433,82.40568820224719,103.24191279887482,7.0326836158192085,8.718283582089553,9.396641791044775,89.0,36,34,1132.0,22.5,0.579,0.533,0.406,0.469,586.0,2.7,15.0,9.3,19.2,1.7,2.0,14.8,28.7,3.7,1.4,5.1,0.181,5.7,1.6,7.2,1.17,114.7,102.5,0.314,-1.87,7.2,15.6,0.46,4.9,9.3,0.531,2.3,6.3,0.358,5.4,7.3,0.744,6.2,3.9,1.2,0.7,3.3,2.2,22.0,10.8,23.4,7.4,13.9,3.4,9.5,8.2,11.0,9.3,5.8,1.7,1.1,5.0,3.3,33.1,28.0,37.4,65.5,24.1,22.0,32.0,3.2,40.6,56.2,,,,7.424242424242424,6.303030303030303,17.07272727272727,14.229545454545454,5.133787878787879,10.529242424242426,0.4956212121212121,1.0245454545454546,2.880757575757576,0.3238636363636363,2.895151515151515,4.257424242424243,0.6472575757575757,0.8113636363636363,4.7646969696969705,5.575454545454546,2.249848484848485,0.9378787878787878,0.8487878787878789,1.8921212121212123,2.2253030303030306,2021.0,U19 World Cup,7.0,16:29,12.3,4.4,9.1,0.484,1.1,4.0,0.286,2.3,3.3,0.696,3.0,2.1,1.6,0.7,1.7,2.0,Gold,,16.356737588652482,5.0,25.998
163374,2021-22,Keegan Murray,PF,,Iowa,Big Ten,26.0,9.0,6.87,2.0,"Aug 19, 2000",21.86,80,225.0,77.44198312236287,78.72862165963433,82.40568820224719,103.24191279887482,7.0326836158192085,8.718283582089553,9.396641791044775,334.0,35,35,1116.0,37.8,0.638,0.614,0.3,0.343,724.0,9.8,20.2,14.9,10.1,2.3,6.4,5.7,29.7,6.6,2.0,8.7,0.311,13.0,2.7,15.7,1.33,134.6,96.8,0.343,-0.38,11.0,19.9,0.554,8.6,13.9,0.621,2.4,5.9,0.398,5.1,6.8,0.747,10.9,1.9,1.6,2.4,1.4,2.3,29.5,15.6,28.2,12.3,19.8,3.4,8.5,7.2,9.7,15.4,2.7,2.3,3.5,2.0,3.3,41.9,63.0,48.6,72.1,42.8,21.5,39.5,34.0,30.0,86.4,,,,7.424242424242424,6.303030303030303,17.07272727272727,14.229545454545454,5.133787878787879,10.529242424242426,0.4956212121212121,1.0245454545454546,2.880757575757576,0.3238636363636363,2.895151515151515,4.257424242424243,0.6472575757575757,0.8113636363636363,4.7646969696969705,5.575454545454546,2.249848484848485,0.9378787878787878,0.8487878787878789,1.8921212121212123,2.2253030303030306,2013.455078125,,,,,,,,,,,,,,,,,,,,,,16.356737588652482,4.0,25.0
117363,2021-22,Johnny Davis,SG,,Wisconsin,Big Ten,24.0,7.0,9.16,2.0,"Feb 27, 2002",20.34,77,196.4,76.25,77.75,80.5,103.5,6.7,8.5,10.25,164.0,31,31,1060.0,24.3,0.523,0.464,0.246,0.398,577.0,4.3,23.8,13.8,14.8,2.0,2.3,10.8,32.5,2.5,2.0,4.5,0.171,5.8,3.0,8.9,0.93,105.8,95.8,0.358,-2.61,7.9,18.6,0.427,6.5,14.0,0.466,1.4,4.6,0.306,5.8,7.4,0.791,9.6,2.5,1.4,0.9,2.7,2.4,23.1,11.8,27.7,9.7,20.9,2.1,6.8,8.7,11.0,14.4,3.7,2.0,1.3,4.0,3.5,34.5,16.0,30.7,61.0,33.7,43.9,34.9,8.2,25.4,64.9,2018-19,Wisconsin Playground Warriors,UAA 16U,8.0,8.0,27.1,17.12,6.0,11.0,0.545,0.25,0.62,0.4,4.88,6.12,0.796,1.0,2.12,3.12,3.25,1.12,1.12,2.25,1.75,2021.0,U19 World Cup,7.0,12:26,4.1,1.3,4.0,0.321,0.7,2.0,0.357,0.9,1.3,0.667,1.7,1.4,0.9,0.1,0.4,2.0,Gold,,16.356737588652482,10.0,25.0
151846,2021-22,Kenneth Lofton,PF,C,Louisiana Tech,CUSA,23.0,10.0,0.11,2.0,"Aug 14, 2002",19.88,79,280.0,77.44198312236287,78.72862165963433,82.40568820224719,103.24191279887482,7.0326836158192085,8.718283582089553,9.396641791044775,137.38663484486872,33,33,890.0,29.9,0.574,0.544,0.052,0.474,570.0,13.9,29.1,21.7,23.4,2.4,3.0,17.6,32.6,2.9,2.2,5.2,0.232,4.9,2.1,7.0,0.9,110.6,89.8,0.339,-4.43,9.3,17.3,0.539,9.2,16.4,0.557,0.2,0.9,0.2,5.5,8.2,0.672,15.6,4.1,1.7,1.1,4.5,4.0,24.4,13.3,24.8,13.1,23.5,0.3,1.3,7.9,11.7,22.3,5.8,2.4,1.5,6.5,5.8,34.8,22.0,66.3,63.3,37.7,28.5,38.2,23.8,5.2,50.0,,,,7.424242424242424,6.303030303030303,17.07272727272727,14.229545454545454,5.133787878787879,10.529242424242426,0.4956212121212121,1.0245454545454546,2.880757575757576,0.3238636363636363,2.895151515151515,4.257424242424243,0.6472575757575757,0.8113636363636363,4.7646969696969705,5.575454545454546,2.249848484848485,0.9378787878787878,0.8487878787878789,1.8921212121212123,2.2253030303030306,2021.0,U19 World Cup,7.0,18:23,13.1,5.3,8.1,0.649,0.0,0.1,0.0,2.6,4.3,0.6,5.3,0.9,0.6,0.3,0.6,2.6,Gold,,16.356737588652482,28.925076452599388,25.0
132642,2021-22,Dalen Terry,SG,,Arizona,Pac-12,33.0,4.0,6.84,2.0,"Jul 12, 2002",19.97,79,195.2,78.0,79.25,84.75,106.0,5.4,8.5,9.0,52.0,37,37,1029.0,16.9,0.584,0.563,0.336,0.231,343.0,5.0,12.8,9.3,22.1,2.5,1.1,16.7,14.1,2.4,2.1,4.5,0.176,3.5,4.5,8.0,2.84,122.8,94.6,0.233,4.2,4.5,8.9,0.502,3.4,5.9,0.572,1.1,3.0,0.364,1.5,2.1,0.736,7.0,5.6,1.8,0.5,2.0,3.3,11.5,6.1,12.2,4.6,8.1,1.5,4.1,2.1,2.8,9.6,7.7,2.5,0.6,2.7,4.5,15.9,22.0,47.6,67.9,50.0,18.8,30.2,15.4,33.6,92.9,,,,7.424242424242424,6.303030303030303,17.07272727272727,14.229545454545454,5.133787878787879,10.529242424242426,0.4956212121212121,1.0245454545454546,2.880757575757576,0.3238636363636363,2.895151515151515,4.257424242424243,0.6472575757575757,0.8113636363636363,4.7646969696969705,5.575454545454546,2.249848484848485,0.9378787878787878,0.8487878787878789,1.8921212121212123,2.2253030303030306,2013.455078125,,,,,,,,,,,,,,,,,,,,,,16.356737588652482,18.0,25.0
151480,2021-22,JD Davison,PG,,Alabama,SEC,19.0,14.0,11.59,1.0,"Oct 3, 2002",19.74,74,191.8,72.5,74.5,78.5,99.5,7.8,8.5,9.5,13.0,33,5,852.0,16.0,0.558,0.521,0.388,0.379,333.0,4.5,15.2,9.8,29.4,2.1,1.4,27.3,18.8,1.2,0.8,2.1,0.097,3.3,1.9,5.2,1.51,104.5,105.4,0.266,0.04,4.6,10.0,0.463,3.5,6.2,0.565,1.2,3.9,0.301,2.8,3.8,0.728,7.4,6.7,1.5,0.6,4.5,1.9,13.2,6.3,13.7,4.7,8.4,1.6,5.3,3.8,5.2,10.1,9.2,2.1,0.8,6.1,2.6,18.1,9.0,45.8,64.3,15.9,15.4,33.3,0.0,38.8,68.0,,,,7.424242424242424,6.303030303030303,17.07272727272727,14.229545454545454,5.133787878787879,10.529242424242426,0.4956212121212121,1.0245454545454546,2.880757575757576,0.3238636363636363,2.895151515151515,4.257424242424243,0.6472575757575757,0.8113636363636363,4.7646969696969705,5.575454545454546,2.249848484848485,0.9378787878787878,0.8487878787878789,1.8921212121212123,2.2253030303030306,2013.455078125,,,,,,,,,,,,,,,,,,,,,,16.356737588652482,53.0,24.999
