Name,Height,Weight,Position,School,Class,RSCI
Blake Griffin,6-10,248,PF,Oklahoma,So.,17
James Harden,6-5,222,SG,Arizona St.,So.,18
Jordan Hill,6-10,232,PF,Arizona,Jr.,137
Hasheem Thabeet,7-2,267,C,UConn,Jr.,64
Stephen Curry,6-3,181,PG/SG,Davidson,Jr.,
DeMar DeRozan,6-7,211,SG,USC,Fr.,
Byron Mullens,7-0,258,C,Ohio St.,Fr.,8
Jonny Flynn,6-0,196,PG,Syracuse,So.,21
Earl Clark,6-10,226,SF,Louisville,Jr.,24
James Johnson,6-8,257,SF,Wake Forest,So.,47
Gerald Henderson,6-5,215,SG/SF,Duke,Jr.,11
Jeff Teague,6-2,175,PG,Wake Forest,So.,56
Tyreke Evans,6-5,221,SG,Memphis,Fr.,3
Wayne Ellington,6-5,202,SG,North Carolina,Jr.,8
Eric Maynor,6-3,164,PG,VCU,Sr.,
Chase Budinger,6-7,206,SG/SF,Arizona,Jr.,7
Derrick Brown,6-8,225,SF,Xavier,Jr.,
DeJuan Blair,6-6,277,PF,Pittsburgh,So.,37
Tyler Hansbrough,6-9,234,PF,North Carolina,Sr.,6
Terrence Williams,6-6,213,SG/SF,Louisville,Sr.,46
DaJuan Summers,6-8,243,SF,Georgetown,Jr.,26
Ty Lawson,6-0,197,PG,North Carolina,Jr.,5
Taj Gibson,6-10,214,PF,USC,Jr.,41
Darren Collison,6-1,166,PG,UCLA,Sr.,98
Toney Douglas,6-2,183,PG/SG,Florida St.,Sr.,100
Sam Young,6-6,223,SF,Pittsburgh,Sr.,49
Jrue Holiday,6-4,199,PG/SG,UCLA,Fr.,2
Dionte Christmas,6-5,211,SG,Temple,Sr.,
Jermaine Taylor,6-5,207,SG,Central Florida,Sr.,
Patrick Mills,6-0,175,PG,St. Mary's,So.,
Marcus Thornton,6-4,194,SG,LSU,Sr.,129
Josh Heytvelt,6-11,246,PF,Gonzaga,Sr.,74
Austin Daye,6-11,192,SF,Gonzaga,So.,35
Jeff Pendergraph,6-10,240,PF,Arizona St.,Sr.,125
Curtis Jerrells,6-1,195,PG,Baylor,Sr.,
Jerel McNeal,6-3,190,SG,Marquette,Sr.,60
Jeff Adrien,6-6,235,PF,UConn,Sr.,43
Leo Lyons,6-9,235,SF/PF,Missouri,Sr.,58
Dante Cunningham,6-8,227,SF/PF,Villanova,Sr.,
Robert Dozier,6-10,215,SF/PF,Memphis,Sr.,103
Danny Green,6-6,208,SF,North Carolina,Sr.,18
Tyrese Rice,6-0,190,PG,Boston College,Sr.,
DeMarre Carroll,6-8,207,SF/PF,Missouri,Sr.,
Wesley Matthews,6-5,215,SG,Marquette,Sr.,64
Jodie Meeks,6-4,211,SG,Kentucky,Jr.,58
Terrel Harris,6-4,190,SG,Oklahoma State,Sr.,69
Chris Johnsonn,6-11,205,PF/C,LSU,Sr.,
AJ Price,6-2,193,PG,UConn,Sr.,
Courtney Fells,6-6,210,SG,NC State,Sr.,35
Lee Cummard,6-6,180,SG,,Sr.,73
Alonzo Gee,6-6,219,SG,Alabama,Sr.,55
Garret Siler,6-11,305,C,Augusta St.,Sr.,
Alex Ruoff,6-6,220,SG,West Virginia,Sr.,
Paul Harris,6-4,220,SG/SF,Syracuse,Jr.,10
Chinemelu Elonu,6-10,235,PF,Texas A&M,Jr.,
Jon Brockman,6-7,255,PF,Washington,Sr.,19
Jack McClinton,6-1,185,SG,Miami,Sr.,
Stefon Jackson,6-5,185,SG,UTEP,Sr.,
Alade Aminu,6-10,220,SF/PF,Georgia Tech,Sr.,79
Josh Akognon,5-11,185,PG,Cal State Fullerton,Sr.,
Brandon Costner,6-8,230,SF,NC State,Jr.,20
Lester Hudson,6-3,190,PG/SG,Tennessee-Martin,Sr.,
Robert Vaden,6-5,205,SG,UAB,Sr.,32
Micah Downs,6-7,180,SG/SF,Gonzaga,Sr.,22
Daniel Hackett,6-6,210,PG/SG,USC,Jr.,121
Luke Nevill,7-1,265,C,Utah,Sr.,
AJ Abrams,5-11,155,PG/SG,Texas,Sr.,
Josh Shipp,6-5,220,SG,UCLA,Sr.,57
Dominic James,5-11,180,PG,Marquette,Sr.,36
Jeremy Pargo,6-2,219,PG,Gonzaga,Sr.,84
Russell Hicks,7-0,255,C,Florida International,Sr.,
Josh Carter,6-7,195,SG,Texas A&M,Sr.,
Cedric Jackson,6-3,180,PG,Cleveland St.,Sr.,
Antonio Anderson,6-6,214,SG,Memphis,Sr.,62
Kevin Rogers,6-8,225,SF/PF,Baylor,Sr.,57
Charlie Coley,6-7,220,SF,Charlotte,Sr.,
Lorrenzo Wade,6-6,226,SG,San Diego St.,Sr.,89
Eric Devendorf,6-4,175,PG/SG,Syracuse,Jr.,23
Lewis Clinch,6-3,190,SG,Georgia Tech,Sr.,26
Dar Tucker,6-3,200,SG,DePaul,So.,42
Connor Atchley,6-10,230,PF,Texas,Sr.,
John Wall,6-4,196,PG,Kentucky,Fr.,2
Evan Turner,6-7,214,SG,Ohio St.,Jr.,53
Derrick Favors,6-10,245,PF,Georgia Tech,Fr.,1
Wesley Johnson,6-7,206,SF,Syracuse,Jr.,340
Greg Monroe,6-11,247,PF/C,Georgetown,So.,6
Patrick Patterson,6-9,240,PF,Kentucky,Jr.,11
DeMarcus Cousins,6-11,292,PF/C,Kentucky,Fr.,3
Luke Babbitt,6-9,218,SF/PF,Nevada,So.,20
Al-Farouq Aminu,6-8,216,SF,Wake Forest,So.,7
PaulGeorge,6-9,214,SF,Fresno St.,So.,
