Name,Season,Height,Weight,Position,School,Class,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,ORTG,DRTG,AST/TOV,NBA GP,NBA MPG,NBA WS,NBA WSP48,NBA BPM,NBA VORP,NBA PLUSMINUS
Blake Griffin,2008-09,6-10,248,PF,Oklahoma,So.,17.0,35.0,35.0,1165,,0.648,0.657,0.017,0.706,,,,24.0,16.3,,2.6,15.9,30.8,6.1,3.5,9.7,0.332,,,,,,0.69,622,34.8,75.2,.167,3.8,31.9,+7.4
James Harden,2008-09,6-5,222,SG,Arizona State,So.,18.0,35.0,35.0,1254,,0.607,0.5529999999999999,0.361,0.597,,,,10.4,29.2,,0.8,16.9,32.5,5.1,2.0,7.2,0.229,,,,,,1.25,826,34.3,133.3,.226,6.9,63.6,+4.9
Jordan Hill,2008-09,6-10,232,PF,Arizona,Jr.,137.0,34.0,34.0,1213,,0.56,0.537,0.0,0.382,,,,19.0,9.6,,3.9,14.9,28.2,3.0,2.1,5.1,0.16699999999999998,,,,,,0.52,409,18.8,16.4,.102,-2.0,0.0,-5.2
Hasheem Thabeet,2008-09,7-2,267,C,UConn,Jr.,64.0,36.0,36.0,1145,,0.6459999999999999,0.64,0.0,0.763,,,,17.9,2.9,,9.2,15.2,19.0,3.8,5.6,9.4,0.329,,,,,,0.25,224,10.5,4.8,.099,-2.7,-0.4,-5.7
Stephen Curry,2008-09,6-3,181,PG/SG,Davidson,Jr.,,34.0,34.0,1145,,0.604,0.5489999999999999,0.489,0.365,,,,6.9,40.2,,0.6,13.5,38.3,6.4,3.6,9.9,0.348,,,,,,1.5,699,34.3,103.2,.207,6.4,50.7,+12.0
DeMar DeRozan,2008-09,6-7,211,SG,USC,Fr.,8.0,35.0,35.0,1168,,0.555,0.531,0.098,0.401,,,,,,,,14.3,,2.4,1.7,4.1,0.14,,,,,,0.7,813,34.2,66.5,.115,0.4,16.5,-2.9
BJ Mullens,2008-09,7-0,258,C,Ohio State,Fr.,5.0,33.0,2.0,671,,0.629,0.638,0.005,0.495,,,,14.6,3.3,,4.7,18.0,24.0,2.3,1.0,3.3,0.198,,,,,,0.18,189,18.2,0.6,.008,-4.0,-1.8,-4.8
Jonny Flynn,2008-09,6-0,196,PG,Syracuse,So.,21.0,38.0,38.0,1418,,0.5670000000000001,0.507,0.298,0.481,,,,,,,,18.1,,3.3,1.5,4.9,0.13699999999999998,,,,,,1.97,163,22.9,-1.1,-0.015,-4.0,-1.9,-7.5
Earl Clark,2008-09,6-10,226,SF,Louisville,Jr.,24.0,37.0,36.0,1269,,0.517,0.4920000000000001,0.215,0.314,,,,,,,,19.0,,1.6,4.2,5.8,0.184,,,,,,1.0,261,13.9,2.9,.038,-2.8,-0.8,-8.5
James Johnson,2008-09,6-8,257,SF,Wake Forest,So.,47.0,31.0,31.0,946,,0.593,0.574,0.2,0.287,,,,,,,,15.9,,2.7,2.6,5.3,0.224,,,,,,0.84,634,20.6,24.6,.090,0.8,9.3,-1.6
Gerald Henderson,2008-09,6-5,215,SG/SF,Duke,Jr.,11.0,37.0,36.0,1098,,0.542,0.494,0.258,0.397,,,,9.5,18.0,,2.0,12.5,28.3,2.5,3.0,5.5,0.201,,,,,,1.14,535,25.9,18.3,.063,-1.8,0.6,+0.3
Jeff Teague,2008-09,6-2,175,PG,Wake Forest,So.,56.0,31.0,31.0,991,,0.615,0.546,0.275,0.59,,,,,,,,18.0,,3.8,1.8,5.6,0.227,,,,,,1.06,771,27.5,50.8,.115,0.7,14.4,+1.7
Tyreke Evans,2008-09,6-5,221,SG,Memphis,Fr.,3.0,37.0,35.0,1072,,0.529,0.489,0.246,0.384,,,,10.2,30.0,,2.2,18.2,33.1,2.4,4.8,7.2,0.268,,,,,,1.08,594,30.7,28.4,.075,0.8,13.1,+0.2
Wayne Ellington,2008-09,6-5,202,SG,UNC,Jr.,8.0,38.0,37.0,1155,,0.604,0.579,0.458,0.252,,,,8.3,14.5,,0.4,11.1,21.5,3.5,2.0,5.5,0.189,,,,,,1.63,681,21.0,18.2,.061,-1.6,1.6,+1.6
Eric Maynor,2008-09,6-3,164,PG,VCU,Sr.,,34.0,34.0,1206,,0.583,0.524,0.341,0.453,,,,,,,,13.4,,4.7,2.2,6.9,0.23,,,,,,2.08,267,14.6,3.3,.041,-2.9,-0.8,-1.5
Chase Budinger,2008-09,6-7,206,SG/SF,Arizona,Jr.,7.0,35.0,35.0,1317,,0.594,0.5539999999999999,0.368,0.342,,,,10.1,19.0,,1.0,13.8,24.6,3.9,1.3,5.2,0.159,,,,,,1.39,407,19.7,13.9,.083,-0.5,2.9,+1.2
Derrick Brown,2008-09,6-8,225,SF,Xavier,Jr.,,35.0,35.0,1033,,0.597,0.562,0.267,0.401,,,,,,,,13.2,,3.2,2.4,5.6,0.218,,,,,,1.11,171,14.9,4.5,.085,-1.3,0.4,+0.3
DeJuan Blair,2008-09,6-6,277,PF,Pitt,So.,37.0,35.0,35.0,955,,0.601,0.593,0.0,0.425,,,,25.7,9.1,,2.8,8.8,25.7,3.5,4.8,8.2,0.345,,,,,,0.95,424,16.6,19.0,.129,-1.2,1.4,-5.3
Tyler Hansbrough,2008-09,6-9,234,PF,UNC,Sr.,6.0,34.0,34.0,1029,,0.613,0.524,0.053,0.682,,,,13.9,5.8,,0.8,9.9,27.4,4.2,2.5,6.7,0.261,,,,,,0.54,428,16.9,20.2,.134,-2.0,0.0,-3.4
Terrence Williams,2008-09,6-6,213,SG/SF,Louisville,Sr.,46.0,37.0,36.0,1266,,0.517,0.504,0.378,0.298,,,,,,,,16.1,,1.5,4.6,6.2,0.195,,,,,,2.15,153,19.1,-0.2,-0.004,-2.8,-0.6,-0.9
DaJuan Summers,2008-09,6-8,243,SF,Georgetown,Jr.,26.0,31.0,31.0,910,,0.598,0.564,0.467,0.471,,,,8.7,9.8,,1.9,18.6,25.7,2.8,1.2,4.0,0.177,,,,,,0.48,83,9.9,-0.1,-0.008,-5.8,-0.8,-5.7
Ty Lawson,2008-09,6-0,197,PG,UNC,Jr.,5.0,35.0,35.0,1048,,0.659,0.607,0.316,0.608,,,,5.1,35.6,,0.3,13.0,21.4,4.4,2.5,6.9,0.263,,,,,,3.48,551,29.2,42.1,.126,1.4,13.6,+0.6
Taj Gibson,2008-09,6-10,214,PF,USC,Jr.,41.0,35.0,35.0,1179,,0.621,0.601,0.0,0.5760000000000001,,,,,,,,15.2,,3.8,3.8,7.7,0.26,,,,,,0.61,799,25.1,52.4,.125,-0.8,6.4,+2.4
Darren Collison,2008-09,6-1,166,PG,UCLA,Sr.,98.0,35.0,35.0,1103,,0.624,0.568,0.302,0.366,,,,4.9,28.4,,0.4,17.7,23.1,3.8,1.6,5.4,0.196,,,,,,1.91,708,29.4,49.9,.115,0.6,13.5,-0.8
Toney Douglas,2008-09,6-2,183,PG/SG,Florida State,Sr.,100.0,35.0,35.0,1279,,0.581,0.525,0.412,0.433,,,,6.1,20.2,,0.9,11.9,29.0,4.6,1.7,6.3,0.196,,,,,,1.17,394,19.1,12.1,.077,-0.8,2.2,+0.3
Sam Young,2008-09,6-6,223,SF,Pitt,Sr.,49.0,36.0,36.0,1146,,0.5820000000000001,0.5539999999999999,0.279,0.29600000000000004,,,,11.2,7.1,,2.1,12.9,29.0,3.9,3.1,6.9,0.242,,,,,,0.45,249,15.9,5.2,.063,-2.1,-0.1,-6.3
Jrue Holiday,2008-09,6-4,199,PG/SG,UCLA,Fr.,2.0,35.0,35.0,950,,0.532,0.504,0.353,0.249,,,,8.9,23.8,,1.7,21.2,19.3,1.2,2.1,3.3,0.138,,,,,,1.72,707,33.3,43.0,.088,1.2,19.2,+6.2
Dionte Christmas,2008-09,6-5,211,SG,Temple,Sr.,,34.0,34.0,1191,,0.55,0.515,0.5770000000000001,0.3,,,,,,,,14.0,,3.1,2.1,5.2,0.175,,,,,,1.0,31,6.4,0.3,.083,-1.8,0.0,-7.4
Jermaine Taylor,2008-09,6-5,207,SG,UCF,Sr.,,31.0,31.0,989,,0.591,0.556,0.404,0.281,,,,9.7,17.5,,2.1,11.2,39.3,4.9,1.4,6.2,0.252,,,,,,0.67,65,12.1,0.2,.014,-3.7,-0.3,-13.4
Patrick Mills,2008-09,6-0,175,PG,Saint Mary's,So.,,26.0,24.0,867,,0.529,0.485,0.489,0.244,,,,3.9,25.7,,0.5,14.2,30.0,1.8,1.9,3.6,0.16699999999999998,,,,,,1.35,668,19.4,30.1,.112,0.6,8.4,+2.4
Marcus Thornton,2008-09,6-4,194,SG,LSU,Sr.,129.0,35.0,35.0,1116,,0.58,0.544,0.371,0.369,,,,9.5,15.4,,0.9,9.1,30.9,4.2,2.4,6.6,0.235,,,,,,1.17,483,23.4,20.0,.085,0.2,6.2,-1.5
Josh Heytvelt,2008-09,6-11,246,PF,Gonzaga,Sr.,74.0,34.0,34.0,993,,0.609,0.5770000000000001,0.16699999999999998,0.456,,,,12.5,4.3,,2.4,9.4,23.5,3.4,2.5,5.8,0.235,,,,,,0.51,0,0,0,0,0,0,0
