Name,Season,Height,Weight,Position,School,Class,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,ORTG,DRTG,AST/TOV,NBA GP,NBA MPG,NBA WS,NBA WSP48,NBA BPM,NBA VORP,NBA PLUSMINUS,Tensorflow,LogReg,GBM
Cade Cunningham,2020-21,80,220,PG/SG,Oklahoma State,1,1.0,27,26,956,21.6,0.574,0.515,0.38799999999999996,0.39,518.0,2.3,16.3,9.6,20.4,2.5,2.3,18.7,29.1,2.3,1.7,4.0,0.166,5.1,3.1,8.2,106.4,97.0,0.86,?,?,?,?,?,?,?,0.99946636,1,1
Jalen Suggs,2020-21,76,205,PG,Gonzaga,1,11.0,26,26,726,23.0,0.589,0.5529999999999999,0.335,0.38,386.0,3.0,18.2,11.2,23.3,3.7,1.2,19.2,25.1,2.1,1.9,4.0,0.221,4.5,4.8,9.3,112.7,88.6,1.53,?,?,?,?,?,?,?,0.9761194,1,1
Evan Mobley,2020-21,84,215,PF/C,USC,1,3.0,31,31,1049,29.4,0.625,0.599,0.12,0.562,500.0,9.8,19.2,14.7,13.5,1.5,9.3,15.1,23.2,3.9,2.6,6.6,0.251,7.8,5.9,13.7,122.1,89.3,0.96,?,?,?,?,?,?,?,0.8150581,1,1
Moses Moody,2020-21,78,205,SG,Arkansas,1,45.0,31,31,1049,20.8,0.573,0.511,0.42,0.473,499.0,6.2,11.8,9.0,8.3,1.7,2.0,9.6,22.2,3.4,1.8,5.2,0.19899999999999998,5.4,2.4,7.8,120.6,97.3,1.02,?,?,?,?,?,?,?,0.001512289,1,0
Scottie Barnes,2020-21,81,225,SF/PF,Florida State,1,7.0,23,7,570,22.1,0.557,0.541,0.201,0.359,274.0,7.5,11.5,9.6,31.8,3.4,2.0,20.6,23.5,1.5,1.0,2.5,0.175,4.git s7,3.8,8.4,111.2,97.6,1.7,?,?,?,?,?,?,?,0.99972653,1,1
Ziaire Williams,2020-21,80,185,SG/SF,Stanford,1,6.0,20,14,558,11.1,0.473,0.431,0.389,0.24100000000000002,213.0,2.4,16.4,9.9,16.4,1.7,2.2,20.4,26.5,-0.2,0.9,0.6,0.046,-1.2,1.5,0.3,86.3,99.2,0.76,?,?,?,?,?,?,?,0.9877449,0,0
Keon Johnson,2020-21,77,185,SG/SF,Tennessee,1,19.0,27,17,688,16.3,0.519,0.47600000000000003,0.19399999999999998,0.409,302.0,4.8,11.0,7.9,20.7,2.5,2.0,19.4,26.8,0.7,1.4,2.1,0.124,1.0,3.1,4.1,97.7,94.5,0.94,?,?,?,?,?,?,?,0.8467139,1,1
Corey Kispert,2020-21,79,220,SF,Gonzaga,4,106.0,28,28,866,26.9,0.696,0.665,0.522,0.265,460.0,3.4,14.1,9.2,8.8,1.5,1.3,9.0,23.2,4.2,1.7,5.9,0.27399999999999997,9.8,1.9,11.7,136.7,95.1,1.26,?,?,?,?,?,?,?,1.1763358e-05,0,1
Jaden Springer,2020-21,76,205,SG,Tennessee,1,16.0,25,15,648,20.9,0.57,0.511,0.203,0.441,309.0,4.6,10.9,7.8,24.1,2.7,2.0,17.9,26.0,1.6,1.3,2.9,0.18,3.6,3.3,6.9,108.8,94.2,1.22,?,?,?,?,?,?,?,0.9579127,1,1
James Bouknight,2020-21,77,190,SG,UConn,2,66.0,15,14,475,23.2,0.546,0.498,0.342,0.37,253.0,5.3,15.1,10.1,12.8,2.2,0.9,14.0,31.6,1.3,0.8,2.1,0.179,6.1,2.5,8.6,108.7,98.4,0.64,?,?,?,?,?,?,?,0.00024232268,0,0
