Season,Year,RSCI,First Name,Last Name,Conference,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,AST/TO%,OWS,DWS,WS,WS/40,WS/40 * BPM,OBPM,DBPM,BPM,FT%,3PT%,3PT Confidence,FG% on 2PT Jumpers,% 2PT Jumpers Assisted,Shooting%,FG% at Rim,% at Rim Assisted,Finishing%,Offensive Self Creation
2019-20,1,13,Josh,Green,SEC,30,30,926,17.9,0.528,0.476,0.288,0.378,360,4.8,11.9,8.4,16,2.8,1.6,12.6,20.7,1.59,2,1.9,3.8,0.166,1.4276,3.7,4.9,8.6,78,36.1,10.3968,27.8,50,16.04,66.1,60,12.81,18.59
2019-20,1,23,Jaden,McDaniels,SEC,31,21,963,14.6,0.515,0.469,0.378,0.339,394,4.4,15.8,10.6,14.6,1.4,4.9,20.4,25.6,0.65,0.6,1.7,2.3,0.096,0.384,0.1,4,4,76.3,33.9,12.8142,39,20,30.21,69.4,59.7,13.55,32
2019-20,1,36,Isaac,Okoro,SEC,28,28,881,19.1,0.585,0.553,0.287,0.541,351,6.4,8.8,7.6,13.1,1.7,3.1,15.2,19.6,1.04,2.3,1.1,3.4,0.156,1.2012,4.3,3.4,7.7,67.4,28.6,8.2082,16,0,14.89,67.8,30.7,22.76,27.5
2019-20,1,29,Cassius,Stanley,ACC,29,29,796,18.5,0.569,0.531,0.319,0.389,339,7.6,11.7,9.7,6.6,1.4,2.4,14.4,21.9,0.56,1.9,1.4,3.3,0.166,1.079,3.9,2.6,6.5,73.3,36,11.484,37.3,0,33.08,58.6,43.6,16.01,40.84
2019-20,2,18,Immanuel,Quickley,SEC,30,20,989,20.4,0.595,0.511,0.438,0.471,439,2.1,11.9,7.4,11.4,1.6,0.5,10.6,23.4,1.17,3.4,1.4,4.8,0.192,1.4016,6.2,1.1,7.3,92.3,42.8,18.7464,38.2,25,35.82,48,12.5,20.35,57.01
2019-20,2,54,Aaron,Nesmith,SEC,14,14,500,29,0.685,0.659,0.561,0.307,260,2.5,13.9,8,6.9,2.3,2.6,9.3,26.3,0.54,2.2,0.4,2.6,0.207,1.7181,8.7,-0.4,8.3,82.5,52.2,29.2842,42.1,6.2,47.22,55.8,27.6,19.57,70.39
2019-20,2,184,Devin,Vassell,ACC,30,30,863,23.8,0.585,0.565,0.361,0.221,352,5.3,15.4,10.4,11.2,2.8,4.1,6.6,20,2.13,3,1.7,4.7,0.218,2.3544,6.1,4.6,10.8,73.8,41.5,14.9815,43.1,22,32.3,69.4,64,12.1,33.57
2019-20,2,125,Saddiq,Bey,Big East,31,31,1051,21.6,0.608,0.584,0.477,0.248,464,4.5,11.4,8,14.9,1.4,1.1,10.1,22.8,1.61,3.6,1.4,4.9,0.188,1.6544,6.8,1.9,8.8,76.9,45.1,21.5127,34.5,13.3,33.76,62.9,25.8,22.61,60.47
2019-20,2,300,Obi,Toppin,A10,31,31,981,32.5,0.684,0.674,0.212,0.364,540,5.2,22,14.5,14.5,1.8,4.1,13,28.1,0.99,4.5,2.3,6.8,0.279,3.2922,7.4,4.3,11.8,70.2,39,8.268,44.1,51.1,19.27,82.8,66.7,13.36,21.29
2019-20,3,124,Tyler,Bey,Pac-12,31,30,898,26.7,0.611,0.555,0.117,0.693,412,8.4,27.9,18.4,11.5,3.1,4.2,17.6,24.4,0.61,2.6,2.5,5.1,0.228,2.3712,3.4,7,10.4,74.3,41.9,4.9023,41.3,48.9,18.13,66.1,56.1,14.06,20.34
